Std,Treatment,Combination,A,B,C,D,R1,R2,R3,Total,Average,Standard Deviation
1,(1),+,1,10,10,0,2.18,4.90,3.26,10.34,3.45,1.37
2,a,-,5,10,10,0,3.05,3.69,3.35,10.09,3.36,0.32
3,b,-,1,30,10,0,1.20,1.35,1.68,4.23,1.41,0.25
4,ab,+,5,30,10,0,1.36,1.26,1.71,4.33,1.44,0.24
5,c,-,1,10,20,0,4.31,7.76,6.56,18.63,6.21,1.75
6,ac,+,5,10,20,0,4.41,7.95,7.72,20.08,6.69,1.98
7,bc,+,1,30,20,0,3.08,3.05,3.29,9.42,3.14,0.13
8,abc,-,5,30,20,0,3.13,3.16,3.37,9.66,3.22,0.13
9,d,-,1,10,10,7,4.34,2.79,3.91,11.04,3.68,0.80
10,ad,+,5,10,10,7,3.53,4.27,3.87,11.67,3.89,0.37
11,bd,+,1,30,10,7,1.65,1.66,1.96,5.27,1.76,0.18
12,abd,-,5,30,10,7,1.70,1.58,2.14,5.42,1.81,0.29
13,cd,+,1,10,20,7,8.12,8.42,8.64,25.18,8.39,0.26
14,acd,-,5,10,20,7,5.71,8.93,10.28,24.92,8.31,2.35
15,bcd,-,1,30,20,7,3.45,3.18,3.05,9.68,3.23,0.20
16,abcd,+,5,30,20,7,3.20,3.24,3.46,9.90,3.30,0.14
17,CP,0,3,20,15,3.5,2.79,3.41,3.44,9.64,3.21,0.37
18,CP,0,3,20,15,3.5,3.46,5.13,4.29,12.88,4.29,0.84
19,CP,0,3,20,15,3.5,3.05,3.41,3.14,9.60,3.20,0.19
20,CP,0,3,20,15,3.5,4.53,3.41,2.96,10.90,3.63,0.81
21,CP,0,5,10,20,7,5.71,8.68,9.98,24.38,8.13
22,CP,0,1,10,20,7,8.42,8.54,8.15,25.11,8.37
23,CP,0,5,10,15,0,4.73,4.71,4.78,14.23,4.74
24,CP,0,1,10,15,0,5.00,4.76,5.14,14.90,4.97
25,CP,0,5,20,10,0,1.76,2.27,2.14,6.17,2.06
26,CP,0,1,20,10,0,1.95,2.00,2.19,6.14,2.05
27,CP,0,1,20,20,0,4.65,3.83,4.14,12.62,4.21
28,CP,0,1,20,15,0,2.13,2.29,2.20,6.62,2.21

