Run  A	       B         Cost        y7	  	    y28
1    2.5       10        13810.7     24.3325        34.12
2    5.0       20        13512.1     19.1210        23.8252
3    2.5       10        13810.7     25.4719        34.33
4    2.5       10        13810.7     25.8085        31.155
5    0.0       10        13952.1     24.4390        28.7885
6    5.0       10        13669.3     26.9400        31.155
7    5.0        0        13826.5     28.0394        36.5124
8    2.5       10        13810.7     24.7052        33.20
9    0.0       20        13794.9     16.7535        24.4445
10   0.0        0        14109.3     25.2650        37.2785
11   2.5       10        13810.7     24.4100        33.21
12   2.5       20        13653.5     18.8316        22.842
13   2.5        0        13967.9     26.8763        36.488
14   5.0	6.875 	 13718.42    27.607         33.97
