Test No.,Run,pH,Particle size (μm),Fe2+ (mmol),Pulp density (%),Time (d),Sulfur reduction (%)
1,1,1.5,1800,0,2,6,29.76
2,11,2.5,1800,0,2,6,25.56
3,25,1.5,5000,0,2,6,28.87
4,2,2.5,5000,0,2,6,24.65
5,30,1.5,1800,6,2,6,29.75
6,18,2.5,1800,6,2,6,24.35
7,10,1.5,5000,6,2,6,26.24
8,5,2.5,5000,6,2,6,22.47
9,32,2,1.5,1800,0,10,6,34.52
10,24,2.5,1800,0,10,6,29.85
11,29,1.5,5000,0,10,6,35.88
12,2,2.5,5000,0,10,6,25.36
13,8,1.5,1800,6,10,6,34.26
14,3,2.5,1800,6,10,6,34.62
15,27,1.5,5000,6,10,6,31.35
16,12,2.5,5000,6,10,6,24.08
17,26,1.5,1800,0,2,14,42.31
18,7,2.5,1800,0,2,14,38.03
19,6,1.5,5000,0,2,14,40.76
20,31,2.5,5000,0,2,14,35.31
21,19,1.5,1800,6,2,14,42.88
22,20,2.5,1800,6,2,14,39.27
23,9,1.5,5000,6,2,14,39.92
24,16,2.5,5000,6,2,14,37.53
25,15,1.5,1800,0,10,14,44.87
26,28,2.5,1800,0,10,14,38.50
27,17,1.5,5000,0,10,14,43.78
28,13,2.5,5000,0,10,14,37.58
29,22,1.5,1800,6,10,14,53.12
30,14,2.5,1800,6,10,14,51.97
31,23,1.5,5000,6,10,14,48.82
32,4,2.5,5000,6,10,14,46.82
