Experiment,A,X1,B,X2,C,X3,D,X4,%Cd
1,0.5,-1,10,-1,5,-1,10,-1,68.38
2,1.5,1,10,-1,5,-1,10,-1,94.62
3,0.5,-1,100,1,5,-1,10,-1,23.34
4,1.5,1,100,1,5,-1,10,-1,35.78
5,0.5,-1,10,-1,8,1,10,-1,35.78
6,1.5,1,10,-1,8,1,10,-1,94.13
7,0.5,-1,100,1,8,1,10,-1,16.24
8,1.5,1,100,1,8,1,10,-1,29.83
9,0.5,-1,10,-1,5,-1,40,1,95.88
10,1.5,1,10,-1,5,-1,40,1,99.09
11,0.5,-1,100,1,5,-1,40,1,41.22
12,1.5,1,100,1,5,-1,40,1,89.08
13,0.5,-1,10,-1,8,1,40,1,84.43
14,1.5,1,10,-1,8,1,40,1,95.5
15,0.5,-1,100,1,8,1,40,1,23.34
16,1.5,1,100,1,8,1,40,1,85.75
17,1,0,55,0,6.50,0,25,0,73.54
18,1,0,55,0,6.50,0,25,0,73.21
