x1      x2   x3   yield      Pred_RSM   Pred_ANN
-1       -1               0               60.92                 59.16      60.80
-1        1               0               70.07                 71.10      70.07
 1       -1               0               58.94                 59.16      58.94
 1        1               0               67.90                 71.10      67.90
 0       -1              -1               61.08                 62.79      61.06
 0       -1               1               65.52                 68.05      65.53
 0        1              -1               74.35                 74.74      74.30
 0        1               1               81.80                 79.99      81.80
-1        0              -1               59.16                 58.49      59.29
 1        0              -1               54.43                 53.00      54.43
-1        0               1               58.24                 58.26      58.24
 1        0               1               64.49                 63.75      64.48
 0        0               0               79.09                 78.15      79.14
-1       -1              -1               56.43                 52.52      56.79
-0.333   -1               1               63.54                 65.69      59.43
 0.333   -1               1               64.19                 67.52      69.50
 1       -1              -1               52.81                 47.03      53.79
 1        0.4             0               66.06                 67.52      68.82
 0        0.4             0.34            80.81                 80.65      78.13
-0.333    0              -1               65.23                 68.23      64.61
-0.333    1              -1               67.96                 74.21      71.51
