Trial  Tool       v	    f 		 t	  Ks	     Ra		VC
1      CC650      80         0.05        5        3719.11     0.16      0.032
2      CC650      80         0.05        10       6491.41     0.33      0.068
3      CC650      80         0.10        5        3951.91     0.39      0.086
4      CC650      80         0.10        15       6667.59     0.57      0.190
5      CC650      80         0.15        10       5033.12     1.46      0.148
6      CC650      80         0.15        15       5178.99     1.33      0.156
7      CC650      115        0.05        5        8017.18     0.31      0.081
8      CC650      115        0.05        15       9315.76     0.43      0.146
9      CC650      115        0.10        5        5489.32     0.87      0.102
10     CC650      115        0.10        10       5474.35     1.07      0.131
11     CC650      115        0.15        10       4568.57     1.12      0.111
12     CC650      115        0.15        15       4683.02     1.31      0.152
13     CC650      150        0.05        10       8081.68     0.34      0.137
14     CC650      150        0.05        15       8138.20     0.53      0.179
15     CC650      150        0.10        5        5172.06     0.49      0.085
16     CC650      150        0.10        15       5916.48     1.09      0.242
17     CC650      150        0.15        5        4266.36     1.04      0.144
18     CC650      150        0.15        10       5633.37     0.82      0.262
19     CC650WG    80         0.05        10       7160.19     0.26      0.083
20     CC650WG    80         0.05        15       8739.71     0.23      0.089
21     CC650WG    80         0.10        5        4884.21     0.17      0.053
22     CC650WG    80         0.10        15       7308.82     0.26      0.113
23     CC650WG    80         0.15        5        6106.92     0.29      0.106
24     CC650WG    80         0.15        10       6360.56     0.42      0.138
25     CC650WG    115        0.05        5        9370.50     0.31      0.106
26     CC650WG    115        0.05        15       9503.99     0.31      0.164
27     CC650WG    115        0.10        10       5982.98     0.49      0.142
28     CC650WG    115        0.10        15       5976.39     0.54      0.186
29     CC650WG    115        0.15        5        5049.41     0.38      0.099
30     CC650WG    115        0.15        10       5012.96     0.54      0.122
31     CC650WG    150        0.05        10       8605.74     0.14      0.127
32     CC650WG    150        0.05        15       9728.38     0.18      0.168
33     CC650WG    150        0.10        5        6728.23     0.23      0.095
34     CC650WG    150        0.10        15       7477.71     0.30      0.245
35     CC650WG    150        0.15        5        4792.78     0.49      0.115
36     CC650WG    150        0.15        10       4742.27     0.71      0.170
37     GC6050WH   80         0.05        5        6207.86     0.25      0.047
38     GC6050WH   80         0.05        10       9316.20     0.34      0.070
39     GC6050WH   80         0.10        5        6803.49     0.53      0.077
40     GC6050WH   80         0.10        15       7218.18     0.55      0.164
41     GC6050WH   80         0.15        10       6051.85     0.74      0.111
42     GC6050WH   80         0.15        15       5558.97     0.61      0.143
43     GC6050WH   115        0.05        5        8256.18     0.20      0.071
44     GC6050WH   115        0.05        10       8331.79     0.21      0.091
45     GC6050WH   115        0.10        5        5802.83     0.24      0.076
46     GC6050WH   115        0.10        15       5669.92     0.50      0.151
47     GC6050WH   115        0.15        10       4752.68     0.50      0.112
48     GC6050WH   115        0.15        15       5588.35     0.59      0.133
49     GC6050WH   150        0.05        5        6645.78     0.18      0.074
50     GC6050WH   150        0.05        10       7012.23     0.20      0.098
51     GC6050WH   150        0.10        10       6122.50     0.43      0.106
52     GC6050WH   150        0.10        15       6343.75     0.62      0.144
53     GC6050WH   150        0.15        5        5012.38     0.46      0.081
54     GC6050WH   150        0.15        15       5165.32     0.70      0.158

55     CC650      80         0.05        15       8008.64     0.53      0.112
56     CC650      80         0.10        10       6149.04     0.52      0.134
57     CC650      80         0.15        5        3818.14     1.32      0.089
58     CC650      115        0.05        10       8336.07     0.29      0.097
59     CC650      115        0.10        15       5770.13     1.06      0.177
60     CC650      115        0.15        5        4402.13     1.28      0.090
61     CC650      150        0.05        5        6999.36     0.37      0.104
62     CC650      150        0.10        10       5509.53     0.72      0.151
63     CC650      150        0.15        15       5783.37     1.24      0.333
64     CC650WG    80         0.05        5        4128.03     0.18      0.052
65     CC650WG    80         0.10        10       6299.24     0.23      0.083
66     CC650WG    80         0.15        15       6793.39     0.48      0.164
67     CC650WG    115        0.05        10       9185.20     0.35      0.141
68     CC650WG    115        0.10        5        6028.54     0.39      0.096
69     CC650WG    115        0.15        15       4944.25     0.55      0.140
70     CC650WG    150        0.05        5        8313.24     0.16      0.095
71     CC650WG    150        0.10        10       7663.66     0.24      0.176
72     CC650WG    150        0.15        15       5732.94     0.91      0.233
73     GC6050WH   80         0.05        15       9706.24     0.52      0.086
74     GC6050WH   80         0.10        10       6876.04     0.57      0.111
75     GC6050WH   80         0.15        5        5929.33     0.61      0.067
76     GC6050WH   115        0.10        10       5836.78     0.36      0.104
77     GC6050WH   115        0.15        5        4944.05     0.35      0.077
78     GC6050WH   115        0.05        15       8834.84     0.25      0.111
79     GC6050WH   150        0.05        15       8432.31     0.21      0.148
80     GC6050WH   150        0.10        5        5784.38     0.28      0.083
81     GC6050WH   150        0.15        10       5168.53     0.69      0.120
