Run   CuttingSpeed   FeedRate   Env   Material      Insert   Response
84    93             0.10       Dry   C-60          SNMG     592
73    93             0.14       Dry   C-60          SNMG     662
53    93             0.18       Dry   C-60          SNMG     694
70    93             0.22       Dry   C-60          SNMG     698
25    133            0.10       Dry   C-60          SNMG     652
81    133            0.14       Dry   C-60          SNMG     694
87    133            0.18       Dry   C-60          SNMG     709
1     133            0.22       Dry   C-60          SNMG     736
4     186            0.10       Dry   C-60          SNMG     714
114   186            0.14       Dry   C-60          SNMG     769
98    186            0.18       Dry   C-60          SNMG     782
40    186            0.22       Dry   C-60          SNMG     790
142   266            0.10       Dry   C-60          SNMG     773
164   266            0.14       Dry   C-60          SNMG     821
104   266            0.18       Dry   C-60          SNMG     826
54    266            0.22       Dry   C-60          SNMG     843
60    93             0.10       HPC   C-60          SNMG     453
23    93             0.14       HPC   C-60          SNMG     534
124   93             0.18       HPC   C-60          SNMG     563
17    93             0.22       HPC   C-60          SNMG     584
43    133            0.10       HPC   C-60          SNMG     566
59    133            0.14       HPC   C-60          SNMG     595
83    133            0.18       HPC   C-60          SNMG     617
157   133            0.22       HPC   C-60          SNMG     640
5     186            0.10       HPC   C-60          SNMG     595
135   186            0.14       HPC   C-60          SNMG     644
13    186            0.18       HPC   C-60          SNMG     678
12    186            0.22       HPC   C-60          SNMG     701
74    266            0.10       HPC   C-60          SNMG     697
118   266            0.14       HPC   C-60          SNMG     717
6     266            0.18       HPC   C-60          SNMG     757
123   266            0.22       HPC   C-60          SNMG     784
16    93             0.10       Dry   17CrNiMo6      SNMG     690
86    93             0.14       Dry   17CrNiMo6      SNMG     564
90    93             0.18       Dry   17CrNiMo6      SNMG     708
131   93             0.22       Dry   17CrNiMo6      SNMG     591
186   133            0.10       Dry   17CrNiMo6      SNMG     730
113   133            0.14       Dry   17CrNiMo6      SNMG     646
122   133            0.18       Dry   17CrNiMo6      SNMG     743
191   133            0.22       Dry   17CrNiMo6      SNMG     671
127   186            0.10       Dry   17CrNiMo6      SNMG     780
65    186            0.14       Dry   17CrNiMo6      SNMG     706
183   186            0.18       Dry   17CrNiMo6      SNMG     791
165   186            0.22       Dry   17CrNiMo6      SNMG     724
19    266            0.10       Dry   17CrNiMo6      SNMG     826
162   266            0.14       Dry   17CrNiMo6      SNMG     757
125   266            0.18       Dry   17CrNiMo6      SNMG     839
106   266            0.22       Dry   17CrNiMo6      SNMG     770
133   93             0.10       HPC   17CrNiMo6      SNMG     566
126   93             0.14       HPC   17CrNiMo6      SNMG     468
100   93             0.18       HPC   17CrNiMo6      SNMG     581
160   93             0.22       HPC   17CrNiMo6      SNMG     491
128   133            0.10       HPC   17CrNiMo6      SNMG     606
120   133            0.14       HPC   17CrNiMo6      SNMG     549
166   133            0.18       HPC   17CrNiMo6      SNMG     624
109   133            0.22       HPC   17CrNiMo6      SNMG     590
64    186            0.10       HPC   17CrNiMo6      SNMG     679
