Run	Std	DT	DT_norm	DV	DV_norm	MT	MT_norm	t	t_norm	KGM	KGM_norm	WI	WI_norm
1	10	60	0.5	0.06	1	2	0	5.42	0.06	62.5	0.99	81.4	0.97
2	16	60	0.5	0.05	0.5	4	0.5	6.62	0.34	52.8	0.43	75.9	0.70
3	12	60	0.5	0.06	1	6	1	7.32	0.50	49.5	0.24	66.2	0.24
4	3	50	0	0.06	1	4	0.5	6.75	0.37	46.8	0.09	65.8	0.22
5	4	70	1	0.06	1	4	0.5	5.15	0.00	52.1	0.39	73.8	0.60
6	17	60	0.5	0.05	0.5	4	0.5	6.68	0.35	52.9	0.44	76.2	0.72
7	11	60	0.5	0.04	0	6	0.5	6.95	0.41	51.06	0.33	68.7	0.36
8	6	70	1	0.05	0.5	2	0	5.99	0.19	51.2	0.34	70.6	0.45
9	15	60	0.5	0.05	0.5	4	0.5	7.08	0.44	53.2	0.45	76.2	0.72
10	8	70	1	0.05	0.5	6	1	6.35	0.28	48.2	0.17	63.6	0.11
11	2	70	1	0.04	0	4	0.5	6.54	0.32	45.32	0.00	61.3	0.00
12	13	60	0.5	0.05	0.5	4	0.5	6.65	0.34	50.8	0.32	73.5	0.59
13	7	50	0	0.05	0.5	6	1	9.5	1.00	48.74	0.20	65.4	0.20
14	5	50	0	0.05	0.5	2	0	7.12	0.45	62.7	1.00	82.1	1.00
15	1	50	0	0.04	0	4	0.5	7.67	0.58	51.51	0.36	71.8	0.50
16	9	60	0.5	0.04	0	2	0	6.05	0.21	54.2	0.51	78.2	0.81
17	14	60	0.5	0.05	0.5	4	0.5	6.52	0.31	54.2	0.51	76.4	0.73
