S_No	f1	f2	f3	f4	y RSM	Error_percent
1	-1	-1	-1	-1	16.49	11.754	-4.736
2	-1	-1	0	0	21.47	16.172	-5.298
3	-1	-1	1	1	17.59	13.072	-4.518
4	-1	0	-1	0	21.88	16.821	-5.059
5	-1	0	0	1	20.42	15.785	-4.635
6	-1	0	1	-1	18.92	15.463	-3.457
7	-1	1	-1	1	17.59	16.164	-1.426
8	-1	1	0	-1	19.07	15.182	-3.888
9	-1	1	1	0	15.87	17.536	1.666
10	0	-1	-1	-1	16.24	15.233	-1.007
11	0	-1	0	0	16.67	19.651	2.981
12	0	-1	1	1	21.1	16.551	-4.549
13	0	0	-1	0	18.51	20.3	1.79
14	0	0	0	1	20.4	19.264	-1.136
15	0	0	1	-1	18.27	18.942	0.672
16	0	1	-1	1	20.03	19.643	-0.387
17	0	1	0	-1	17.72	18.661	0.941
18	0	1	1	0	19.75	21.015	1.265
19	1	-1	-1	-1	14.76	15.914	1.154
20	1	-1	0	0	21.1	20.332	-0.768
21	1	-1	1	1	21.75	17.232	-4.518
22	1	0	-1	0	18.64	20.981	2.341
23	1	0	0	1	21.1	19.945	-1.155
24	1	0	1	-1	16.79	19.623	2.833
25	1	1	-1	1	20.83	20.324	-0.506
26	1	1	0	-1	18.7	19.342	0.642
27	1	1	1	0	19.99	21.696	1.706
