Run A B C Y1 Y2 Y3 Y4 Y5
1 1.0 0.02 52.5 0.9 1.7 82.9 1.0 0.4
2 8.0 0.02 52.5 100.0 100.0 100.0 100.0 100.0
3 1.0 0.08 52.5 42.6 28.2 66.5 0.0 0.0
4 8.0 0.08 52.5 100.0 100.0 100.0 100.0 100.0
5 1.0 0.05 25.0 6.3 0.0 100.0 0.0 0.0
6 8.0 0.05 25.0 100.0 100.0 100.0 100.0 100.0
7 1.0 0.05 80.0 9.0 13.8 0.0 0.0 1.2
8 8.0 0.05 80.0 100.0 100.0 100.0 100.0 100.0
9 4.5 0.02 25.0 100.0 100.0 100.0 100.0 100.0
10 4.5 0.08 25.0 100.0 100.0 100.0 100.0 100.0
11 4.5 0.02 80.0 100.0 28.6 100.0 98.4 99.0
12 4.5 0.08 80.0 100.0 77.8 100.0 97.5 97.9
13 4.5 0.05 52.5 100.0 100.0 100.0 100.0 100.0
14 4.5 0.05 52.5 100.0 100.0 100.0 100.0 100.0
15 4.5 0.05 52.5 100.0 100.0 100.0 95.9 97.5
1 7.1 0.0725 73.1 100 86.9 100 98.8 100
2 6.25 0.065 66.25 100 82.76 100 100 99.48
3 4.5 0.05 52.5 100 100 100 100 100
4 3.6 0.0425 45.6 100 74.2 100 98.94 98.4
