Run x1 x2 x3 x4 Moisture
1 50 50 3.5 45 9.68
2 50 80 3.5 45 35.48
3 100 50 3.5 45 9.68
4 100 80 3.5 45 34.19
5 75 65 2 30 10.76
6 75 65 2 60 21.45
7 75 65 5 30 15.05
8 75 65 5 60 25.81
9 50 65 3.5 30 9.68
10 50 65 3.5 60 32.26
11 100 65 3.5 30 16.13
12 100 65 3.5 60 24.19
13 75 50 2 45 10.76
14 75 50 5 45 10.76
15 75 80 2 45 27.95
16 75 80 5 45 21.5
17 50 65 2 45 16.13
18 50 65 5 45 22.58
19 100 65 2 45 16.13
20 100 65 5 45 20.97
21 75 50 3.5 30 10.76
22 75 50 3.5 60 17.21
23 75 80 3.5 30 19.35
24 75 80 3.5 60 32.26
25 75 65 3.5 45 19.35
26 75 65 3.5 45 19.35
27 75 65 3.5 45 19.35
28 50 80 3.5 60 42.34 
29 50 80 3.5 60 42.52 
30 50 80 3.5 60 42.32
