Exp. Ip  Ton Tau SV  MRR EWR 
1 8 100 14 40 14.48869 0.26761
2 10 100 14 45 21.30935 0.53706
3 8 150 12 50 11.83526 0.21034
4 6 100 14 45 8.65506 0.08319
5 8 200 12 45 10.33148 0.07121
6 6 150 16 45 8.518809 0.0757
7 8 150 14 45 13.01855 0.1858
8 6 200 14 45 7.56395 0.04582
9 8 150 16 50 15.27399 0.16443
10 8 150 14 45 13.43348 0.1883
11 8 150 12 40 11.51796 0.18623
12 10 150 14 50 19.96366 0.33819
13 8 100 12 45 13.16322 0.36576
14 6 150 14 50 7.85814 0.07773
15 10 200 14 45 17.40882 0.26971
16 8 100 14 50 15.39212 0.23712
17 10 150 16 45 22.3306 0.32449
18 8 200 14 40 12.37341 0.07042
19 8 200 14 50 11.54403 0.06692
20 6 150 14 40 7.51217 0.07783
21 6 150 12 45 7.04428 0.07868
22 8 200 16 45 12.59403 0.06384
23 8 150 16 40 14.36706 0.17949
24 8 150 14 45 13.16962 0.17978
25 10 150 14 40 20.3209 0.33808
26 10 150 12 45 18.2627 0.3333
27 8 100 16 45 17.75811 0.21583
1 6 200 12.00 41.60 7.145 0.0144
