Run  	  Power     Pressure       Frequency     Speed          Kt     Kb     DIFF         Y
1         1950      25             20000          4             5.95   5.99   0.04          0.06
2         1950      20             20000          5.5           6.10   6.20   0.10          0.30
3         1950      20             19000          2.5           6.03   6.03   0.00          0.06
4         1950      25             19000          4             5.97   5.97   0.00          0.06
5         1950      20             19500          4             6.04   6.05   0.01          0.09
6         2000      20             19500          2.5           5.98   6.02   0.04          0.04
7         1900      25             19500          4             6.03   6.07   0.04          0.10
8         1900      15             19500          4             6.02   6.03   0.01          0.05
9         1950      15             19500          2.5           5.99   6.00   0.01          0.01
10        1900      20             19000          4             5.96   6.08   0.12          0.12
11        2000      20             20000          4             5.97   6.02   0.05          0.05
12        1950      25             19500          5.5           6.20   6.30   0.10          0.50
13        1900      20             19500          2.5           5.99   6.01   0.02          0.02
14        1950      20             20000          2.5           5.99   6.02   0.03          0.03
15        1950      15             19500          5.5           6.00   6.10   0.10          0.10
16        1950      20             19500          4             6.00   6.02   0.02          0.02
17        2000      15             19500          4             5.96   5.98   0.02          0.06
18        1900      20             19500          5.5           6.30   6.30   0.00          0.60
19        1950      15             19000          4             6.00   6.10   0.10          0.10
20        1950      20             19000          5.5           6.15   6.20   0.05          0.35
21        2000      20             19500          5.5           6.01   6.01   0.00          0.02
22        1900      20             20000          4             6.01   6.12   0.11          0.13
23        2000      20             19000          4             6.05   6.08   0.03          0.13
24        1950      20             19500          4             6.00   6.01   0.01          0.01
25        1950      25             19500          2.5           5.96   5.98   0.02          0.06
26        1950      15             20000          4             5.99   6.00   0.01          0.01
27        2000      25             19500          4             5.99   6.02   0.03          0.03
1         1900      25             19253          2.5           5.99   6.02   0.03          0.01
