RUN  A          B                C       Yield  Yield_RSM  Yield_ANN
1    10         20               3       23.96      23.61      20.92
2    7.5        60               2       39.96      39.78      39.63
3    7.5        40               3       45.08      45.27      45.72
4    7.5        40               3       45.18      45.27      45.72
5    5          40               2       19.54      19.37      20.13
6    7.5        20               2       14.85      14.74      15.31
7    5          40               4       39.40      38.94      39.34
8    10         60               3       34.80      34.52      34.75
9    7.5        40               3       44.80      45.27      45.72
10   10         40               2       35.44      35.91      34.69
11   10         40               4       20.12      20.29      19.93
12   7.5        40               3       45.12      45.27      45.72
13   7.5        60               4       24.44      24.55      24.26
14   7.5        20               4       33.74      33.92      34.78
15   5          60               3       32.14      32.49      45.62
16   5          20               3       27.45      27.73      27.27
17   7.5        40               3       46.15      45.27      45.72
18   7.69       46.512           2.86    45.747     45.69      45.71
