Run  TN   TS   LH   WS c1 (g)            PT c2 (s)              EPC c3 (MJ)          B c4 (MPa)           E c5 (MPa)              Tt c6 (MJ/m3)          SPE c7 (MJ/g)          SPP c8 (W/g)
1    240  20   0.2  1.99 ± 0.00       1168.60 ± 0.55     0.14 ± 0.00      69.12 ± 3.58      304.50 ± 23.66      9.40 ± 0.89        0.07 ± 0.00        61.86 ± 0.15
2    260  20   0.2  2.01 ± 0.00       1170.00 ± 0.00     0.14 ± 0.00      65.38 ± 3.59      269.78 ± 17.93      9.51 ± 0.73        0.07 ± 0.00        61.23 ± 0.00
3    240  60   0.2  1.98 ± 0.00       470.80 ± 0.45      0.07 ± 0.00      60.76 ± 2.69      280.42 ± 7.62       7.67 ± 0.94        0.04 ± 0.00        77.32 ± 0.17
4    260  60   0.2  2.00 ± 0.00       470.60 ± 0.55      0.07 ± 0.00      52.30 ± 3.35      232.55 ± 22.35      7.36 ± 1.61        0.04 ± 0.00        76.50 ± 0.09
5    240  40   0.1  1.98 ± 0.00       1220.60 ± 0.55     0.18 ± 0.00      76.91 ± 4.76      338.96 ± 31.32      10.21 ± 0.61       0.09 ± 0.00        74.48 ± 0.03
6    260  40   0.1  2.00 ± 0.00       1220.60 ± 0.55     0.18 ± 0.00      77.49 ± 4.50      382.98 ± 46.63      9.83 ± 1.13        0.09 ± 0.00        73.73 ± 0.03
7    240  40   0.3  2.00 ± 0.00       439.60 ± 0.55      0.07 ± 0.00      44.05 ± 1.66      221.92 ± 11.94      5.29 ± 0.64        0.04 ± 0.00        81.81 ± 0.24
8    260  40   0.3  2.03 ± 0.00       440.00 ± 0.71      0.07 ± 0.00      47.08 ± 2.62      214.48 ± 11.41      6.57 ± 0.91        0.04 ± 0.00        80.69 ± 0.22
9    250  20   0.1  2.00 ± 0.00       2271.60 ± 0.55     0.25 ± 0.00      76.47 ± 5.26      374.25 ± 25.85      9.99 ± 1.46        0.13 ± 0.00        55.47 ± 0.01
10   250  60   0.1  1.99 ± 0.01       921.60 ± 0.55      0.14 ± 0.00      76.31 ± 2.83      360.49 ± 23.34      9.53 ± 0.85        0.07 ± 0.00        78.36 ± 0.21
11   250  20   0.3  2.02 ± 0.01       887.60 ± 0.55      0.11 ± 0.00      47.48 ± 1.35      214.42 ± 8.38       6.68 ± 0.80        0.05 ± 0.00        60.12 ± 0.16
12   250  60   0.3  2.02 ± 0.01       330.60 ± 0.55      0.06 ± 0.02      44.62 ± 1.68      215.97 ± 6.33       5.58 ± 0.68        0.03 ± 0.01        86.41 ± 29.53
13   250  40   0.2  2.00 ± 0.00       626.60 ± 0.55      0.07 ± 0.00      56.71 ± 4.89      274.06 ± 24.48      7.15 ± 0.89        0.04 ± 0.00        57.45 ± 0.05
14   250  40   0.2  2.00 ± 0.00       626.80 ± 0.84      0.07 ± 0.00      58.70 ± 0.89      279.20 ± 9.82       7.88 ± 0.77        0.04 ± 0.00        57.43 ± 0.08
15   250  40   0.2  2.00 ± 0.00       627.20 ± 0.84      0.07 ± 0.00      55.11 ± 1.08      260.58 ± 15.72      7.40 ± 0.64        0.04 ± 0.00        57.40 ± 0.08
16 240 20 0.1 2.00 x 0.01 2271.80 x 0.84 0.25 x 0.03 84.52 x 1.28 463.19 x 5.76 10.44 x 0.63 0.13 x 0.01 55.36 x 5.67
17 250 60 0.3 2.01 x 0.02 331 x 0.71 0.06 x 0.02 49.45 x 2.37 272.92 x 9.90 5.39 x 0.62 0.03 x 0.01 86.94 x 30.30
