Run  LT  NT  PS  Weight c1 g         PrintTime c2 s        sB c3 MPa            EPC c4 MJ            SPE c5 MJ/g          SPP c6 kW/g          E c7 MPa              Toughness c8 MJ/m3
1    0.1     400     40          2.10 ± 0.02        1013.20 ± 37.41     81.67 ± 5.85       0.554 ± 0.037      0.264 ± 0.018      0.261 ± 0.020      277.25 ± 7.61       10.53 ± 1.08
2    0.3     400     40          2.16 ± 0.03        367.20 ± 21.43      32.04 ± 3.07       0.183 ± 0.005      0.085 ± 0.003      0.231 ± 0.020      190.27 ± 4.28       3.04 ± 0.28
3    0.1     420     40          2.08 ± 0.03        1016.00 ± 72.46     87.71 ± 6.55       0.603 ± 0.033      0.289 ± 0.014      0.287 ± 0.032      264.32 ± 6.36       12.26 ± 1.06
4    0.3     420     40          2.15 ± 0.03        380.60 ± 20.40      48.68 ± 3.52       0.142 ± 0.010      0.066 ± 0.005      0.173 ± 0.015      234.03 ± 5.11       5.16 ± 0.44
5    0.1     410     30          2.10 ± 0.04        1275.40 ± 85.39     82.51 ± 6.97       0.689 ± 0.047      0.328 ± 0.027      0.258 ± 0.023      272.69 ± 7.99       12.88 ± 0.73
6    0.3     410     30          2.07 ± 0.04        517.80 ± 22.62      29.43 ± 2.32       0.326 ± 0.032      0.157 ± 0.015      0.304 ± 0.019      181.22 ± 3.44       2.51 ± 0.22
7    0.1     410     50          2.03 ± 0.01        855.20 ± 14.04      42.33 ± 3.22       0.451 ± 0.027      0.221 ± 0.012      0.259 ± 0.015      174.00 ± 5.44       5.12 ± 0.55
8    0.3     410     50          2.16 ± 0.04        322.60 ± 27.19      53.75 ± 4.17       0.148 ± 0.008      0.068 ± 0.005      0.212 ± 0.018      268.14 ± 10.00      5.00 ± 0.45
9    0.2     400     30          2.10 ± 0.03        675.40 ± 32.39      47.22 ± 3.24       0.405 ± 0.014      0.193 ± 0.007      0.286 ± 0.017      261.75 ± 4.06       4.49 ± 0.50
10   0.2     420     30          2.14 ± 0.04        730.00 ± 17.32      49.73 ± 2.22       0.324 ± 0.024      0.152 ± 0.013      0.208 ± 0.021      258.22 ± 6.27       4.71 ± 0.44
11   0.2     400     50          2.14 ± 0.02        478.20 ± 19.28      35.47 ± 3.20       0.210 ± 0.020      0.098 ± 0.010      0.205 ± 0.025      233.18 ± 7.52       2.84 ± 0.25
12   0.2     420     50          2.08 ± 0.01        479.60 ± 28.59      60.05 ± 6.46       0.217 ± 0.024      0.104 ± 0.011      0.219 ± 0.033      276.53 ± 3.67       6.27 ± 1.09
13   0.2     410     40          2.14 ± 0.02        548.40 ± 37.10      39.99 ± 2.67       0.320 ± 0.024      0.150 ± 0.011      0.274 ± 0.029      209.06 ± 5.95       4.57 ± 0.41
14   0.2     410     40          2.10 ± 0.03        527.20 ± 21.14      41.34 ± 3.74       0.284 ± 0.023      0.135 ± 0.009      0.257 ± 0.021      240.24 ± 6.59       3.90 ± 0.46
15   0.2     410     40          2.14 ± 0.04        548.20 ± 30.15      42.24 ± 1.15       0.323 ± 0.032      0.151 ± 0.017      0.277 ± 0.037      227.80 ± 8.65       3.26 ± 0.29
16 0.1 400 30 2.2 + 0.09 1305.00 + 62.04 82.19 + 7.04 0.634 + 1.5 0.288 + 0.012 0.221 + 0.017 266.84 + 9.13 11.53 + 1.50
