Run   A   C   D    Y2     Y6
1    -1  -1   0   23.80   5.06
2     1  -1   0    8.94   2.85
3    -1   1   0    9.70   2.88
4     1   1   0    2.48   2.05
5    -1   0  -1   18.66   5.06
6     1   0  -1    6.50   3.01
7    -1   0   1   16.22   3.36
8     1   0   1    5.20   2.01
9     0  -1  -1   16.21   4.68
10    0   1  -1    4.40   2.81
11    0  -1   1   12.51   3.10
12    0   1   1    3.96   1.87
13    0   0   0    8.52   2.70
14    0   0   0    8.26   2.68
15    0   0   0    8.16   2.68
4    -1    1    1    28.85    7.50
6    -1   -1    1    26.00    6.30
7    -1    1   -1    17.00    6.00
8    -1   -1   -1    24.80   10.25
9     0    0    0    19.80    4.83
10    0    0    0    19.10    4.83
11    0    0    0    19.00    4.83


1     1   -1    1    22.80    4.71
2     1   -1   -1    18.91    4.70
3     1    1   -1     8.44    4.71
5     1    1    1     4.36    2.90

