run A B C  Y  U 
1 0 1 -1 11.83 86.88
2 1 -1 0 12.23 81.53
3 1 0 1 11.59 88.63
4 1 0 -1 12.14 82.75
5 0 0 0 12.20 79.28
6 -1 -1 0 11.86 83.88
7 0 0 0 12.44 77.30
8 0 0 0 12.36 76.90
9 -1 0 -1 11.57 89.29
10 -1 0 1 11.40 85.72
11 0 -1 -1 12.41 79.37
12 -1 1 0 10.68 87.38
13 1 1 0 12.00 84.20
14 0 1 1 11.40 82.77
15 0 0 0 12.42 76.74
16 0 0 0 12.35 77.98
17 0 -1 1 12.04 80.04
1 20 31 2.5 12.05 76.74
2 21 30.16 2.56 12.6 79.28
3 22 29.32 2.62 13.92 82.75
4 23 28.48 2.68 11.54 85.72
5 24 27.64 2.74 11.48 89.29
