run A B C Observed
1 2 2.0 100 48.9 
2 3 1.5 75 86.6 
3 3 1.5 125 49.6 
4 3 2.5 75 90.7 
5 3 2.5 125 75.2 
6 4 1.0 100 52.0 
7 4 2.0 50 94.7 
8 4 2.0 150 82.3 
9 4 3.0 100 92.9 
10 5 1.5 75 86.9 
11 5 1.5 125 60.4 
12 5 2.5 75 95.6 
13 5 2.5 125 75.2 
14 6 2.0 100 90.0 
15 4 2.0 100 91.3 
16 2 2.0 100 47.9 
17 3 1.5 75 85.0 
18 3 1.5 125 54.6 
19 3 2.5 75 91.8 
20 3 2.5 125 72.3 
21 4 1.0 100 57.5 
22 4 2.0 50 95.9 
23 4 2.0 150 78.4 
24 4 3.0 100 95.0 
25 5 1.5 75 82.2 
26 5 1.5 125 58.4 
27 5 2.5 75 95.9 
28 5 2.5 125 81.7 
29 6 2.0 100 88.1 
30 4 2.0 100 79.9 
