Run No.,X1 (mol/mol),X2 (wt%),X3 (°C),X4 (min),Experiment,RSM model,ANN model
1,4.50,0.70,50,40,83.51,83.29,83.29
2,7.50,0.70,50,40,94.48,94.45,94.56
3,4.50,1.10,50,40,90.60,90.32,90.64
4,7.50,1.10,50,40,98.64,98.59,98.02
5,4.50,0.70,60,40,86.87,86.39,86.80
6,7.50,0.70,60,40,95.31,95.11,96.13
7,4.50,1.10,60,40,93.42,93.21,92.99
8,7.50,1.10,60,40,98.83,99.05,98.61
9,4.50,0.70,50,60,85.76,85.55,85.78
10,7.50,0.70,50,60,96.28,96.20,96.27
11,4.50,1.10,50,60,91.56,91.47,91.82
12,7.50,1.10,50,60,98.74,99.23,98.68
13,4.50,0.70,60,60,87.92,87.67,88.05
14,7.50,0.70,60,60,95.59,95.88,95.59
15,4.50,1.10,60,60,93.34,93.38,93.80
16,7.50,1.10,60,60,98.78,98.70,98.80
17,3.00,0.90,55,50,80.84,81.55,81.06
18,9.00,0.90,55,50,98.45,98.03,98.37
19,6.00,0.50,55,50,87.07,87.52,87.02
20,6.00,1.30,55,50,97.53,97.37,97.57
21,6.00,0.90,45,50,93.45,93.54,93.50
22,6.00,0.90,65,50,95.92,96.12,96.23
23,6.00,0.90,55,30,93.61,94.10,94.14
24,6.00,0.90,55,70,96.21,96.01,96.24
25,6.00,0.90,55,50,94.87,94.95,94.82
26,6.00,0.90,55,50,95.32,94.95,94.82
27,6.00,0.90,55,50,95.19,94.95,94.82
28,6.00,0.90,55,50,94.79,94.95,94.82
29,6.00,0.90,55,50,94.47,94.95,94.82
30,6.00,0.90,55,50,95.04,94.95,94.82
