Exp_No,N,P,D,N_value,P_value,D_value,TSFL_kN
1,-1,-1,-1,1281,0.04,9,5.60
2,1,-1,-1,1519,0.04,9,9.50
3,-1,1,-1,1281,0.16,9,12.70
4,1,1,-1,1519,0.16,9,10.40
5,-1,-1,1,1281,0.04,21,10.30
6,1,-1,1,1519,0.04,21,15.50
7,-1,1,1,1281,0.16,21,12.10
8,1,1,1,1519,0.16,21,11.40
9,-1.682,0,0,1200,0.1,15,10.40
10,1.682,0,0,1600,0.1,15,12.80
11,0,-1.682,0,1400,0,15,9.90
12,0,1.682,0,1400,0.2,15,12.10
13,0,0,-1.682,1400,0.1,5,8.50
14,0,0,1.682,1400,0.1,25,13.00
15,0,0,0,1400,0.1,15,13.60
16,0,0,0,1400,0.1,15,13.40
17,0,0,0,1400,0.1,15,13.30
18,0,0,0,1400,0.1,15,13.50
19,0,0,0,1400,0.1,15,13.10
20,0,0,0,1400,0.1,15,13.40
1,1.09,-0.97,1.07,1530,0.05,21.3,14.97
2,1.64,-0.95,1.32,1595,0.05,22.8,15.5
3,1.61,-0.96,0.78,1591,0.05,19.64,15.73
