Std_No	Run	A	B	C	surf	tang
1	8	240	0.18	-5	1.68	395.98
2	9	375	0.18	-5	1.40	372.24
3	12	240	0.28	-5	3.18	550.14
4	15	375	0.28	-5	2.95	525.85
5	13	240	0.18	0	1.20	372.83
6	3	375	0.18	0	1.42	366.48
7	11	240	0.28	0	3.80	559.22
8	2	375	0.28	0	3.25	553.50
9	14	240	0.23	-3	2.14	443.10
10	16	375	0.23	-3	2.08	432.27
11	6	300	0.18	-3	1.14	351.14
12	7	300	0.28	-3	2.99	540.77
13	1	300	0.23	-5	2.17	440.92
14	4	300	0.23	0	2.32	465.40
15	10	300	0.23	-3	1.76	436.10
16	5	300	0.23	-3	1.74	428.88
17	1	300	0.18	-3	1.13	356.6
18	2	375	0.23	-3	2.06	440.78
19	3	375	0.28	-5	2.98	528.21
20	4	300	0.28	0	3.46	569.37
21	5	375	0.18	-3	1.16	343.56
22	6	300	0.28	-5	2.91	545.81
