no. RD RP μ BHF WH
1 0 0 0 0 1.71
2 1 1 -1 -1 2.01
3 0 2 0 0 2.05
4 0 -2 0 0 1.39
5 1 -1 1 1 1.62
6 1 -1 -1 1 1.67
7 -1 1 1 1 1.69
8 1 1 1 1 1.84
9 -1 -1 1 -1 1.44
10 1 1 1 -1 1.95
11 -1 -1 -1 1 1.48
12 2 0 0 0 2.15
13 -2 0 0 0 1.43
14 -1 1 1 -1 1.79
15 0 0 0 -2 1.76
16 0 0 0 2 1.64
17 0 0 -2 0 1.75
18 -1 1 -1 1 1.76
19 1 1 -1 1 1.86
20 0 0 2 0 1.56
21 -1 -1 1 1 1.43
22 -1 1 -1 -1 1.85
23 -1 -1 -1 -1 1.49
24 1 -1 1 -1 1.69
25 1 -1 -1 -1 1.72
1 0 -2 0 -2 1.39
2 -2 0 -2 0 1.59
3 0 0 -2 -2 1.84
4 -2 -2 0 0 1.19
5 2 -2 2 -2 1.72
