Run Dye DyeFe H2O2Fe  pH COD Decol CODp Decolp
1 200 15 30 5.5 75.3 95.4 73.2 95.1
2 200 15 30 5.5 76.4 95.4 73.2 95.1
3 300 25 50 9 62.8 96.8 60.9 95.7
4 200 25 30 5.5 73.4 98.1 69.8 97.5
5 300 5 50 9 34.8 80.0 35.1 79.8
6 200 15 30 5.5 73.4 95.5 73.2 95.1
7 100 5 10 9 66.5 55.8 63.4 59.7
8 100 25 50 2 87.7 99.2 85.3 100.0
9 200 15 30 9 65.8 78.9 67.3 80.3
10 300 15 30 5.5 78.3 94.5 80.2 98.6
11 100 15 30 5.5 77.1 90.1 73.9 86.7
12 100 5 10 2 67.0 93.4 66.1 92.2
13 100 5 50 9 30.2 56.1 32.9 54.4
14 200 15 30 5.5 74.5 95.4 73.2 95.1
15 300 5 10 9 77.9 89.1 79.4 85.9
16 200 5 30 5.5 60.8 84.3 63.3 85.6
17 100 25 10 9 48.0 67.9 50.51 65.1
18 200 15 30 5.5 70.3 94.6 73.20 95.1
19 300 25 10 2 67.4 98.9 63.6 98.3
20 300 5 10 2 61.4 95.2 62.5 95.6
21 100 25 10 2 50.3 97.6 53.1 99.9
22 200 15 10 5.5 67.7 98.2 67.7 97.7
23 300 25 10 9 80.4 84.4 80.5 86.3
24 300 25 50 2 75.5 99.4 81.8 97.7
25 200 15 30 2 74.1 98.3 79.1 97.5
26 100 25 50 9 44.7 73.6 44.9 75.4
27 200 15 50 5.5 62.7 93.5 61.6 94.7
28 200 15 30 5.5 73.4 96.6 73.2 95.1
29 100 5 50 2 72.1 76.5 73.4 76.7
30 300 5 50 2 61.2 78.9 55.9 79.4
31 300 19.15 25.92 3 81.64 99.4 0.972 0
32 300 25 10 3 81.2 99.04 0 0
