Std Run A B C D Yield Pred
17 1 -2 0 0 0 50.07 55.65
2 2 1 -1 -1 -1 67.11 65.21
28 3 0 0 0 0 82.64 80.34
11 4 -1 1 -1 1 50.39 47.48
18 5 2 0 0 0 77.4 75.56
27 6 0 0 0 0 84.76 82.11
23 7 0 0 0 -2 78.28 79.37
5 8 -1 -1 1 -1 87.25 85.44
29 9 0 0 0 0 86.58 88.76
20 10 0 2 0 0 86.16 83.01
9 11 -1 -1 -1 1 47.86 48.32
8 12 1 1 1 -1 89.9 87.21
26 13 0 0 0 0 82.88 80.65
10 14 1 -1 -1 1 71.67 69.46
19 15 0 -2 0 0 76.45 74.32
15 16 -1 1 1 1 90.12 93.06
21 17 0 0 -2 0 34.45 36.38
6 18 1 -1 1 -1 84.56 81.09
22 19 0 0 2 0 86.8 85.08
12 20 1 1 -1 1 73.96 70.98
25 21 0 0 0 0 83.55 80.56
24 22 0 0 0 2 87.67 88.78
7 23 1 1 1 -1 92.28 90.58
4 24 1 1 -1 -1 69.38 68.05
30 25 0 0 0 0 82.43 84.87
1 26 -1 -1 -1 -1 23.91 20.98
14 27 1 -1 1 1 78.9 75.67
13 28 -1 -1 1 1 85.6 84.02
16 29 1 1 1 1 88.55 87.01
3 30 -1 1 -1 -1 27.48 29.98
1 1 3.71 36.69 115.1 3.65 94.78 91.26 
2 2 3.77 39.55 116.72 3.29 92.89 92.08 
3 3 3.61 39.66 115.85 3.39 92.15 91.92
