Trial X1 X2 X3 Load speed distance wear
1 −1 −1 −1 18 0.7 703 2.9094
2 1 −1 −1 42 0.7 703 9.3150
3 −1 1 −1 18 1.3 703 1.3310
4 1 1 −1 42 1.3 703 8.0626
5 −1 −1 1 18 0.7 1,297 4.9568
6 1 −1 1 42 0.7 1,297 12.0552
7 −1 1 1 18 1.3 1,297 3.6692
8 1 1 1 42 1.3 1,297 11.4236
9 −1.682 0 0 10 1.0 1,000 1.3961
10 1.682 0 0 50 1.0 1,000 13.1611
11 0 −1.682 0 30 0.5 1,000 7.3111
12 0 1.682 0 30 1.5 1,000 5.4261
13 0 0 −1.682 30 1.0 500 4.3611
14 0 0 1.682 30 1.0 1,500 8.6111
15 0 0 0 30 1.0 1,000 6.5201
16 0 0 0 30 1.0 1,000 6.7411
17 0 0 0 30 1.0 1,000 6.4811
18 0 0 0 30 1.0 1,000 6.4711
19 0 0 0 30 1.0 1,000 6.5131
20 0 0 0 30 1.0 1,000 6.7611
1 -0.5 1.5 1 20 1.5 500 0.205
