Run steam dryer temp BR  BR_Predicted HRY HRY_Predicted
1 15 1 40 10.04 7.49 63.48 56.30
2 0 1 40 10.93 10.71 52.69 47.70
3 15 1 45 8.81 6.61 36.10 28.70
4 10 1 35 8.62 8.14 33.67 30.70
5 10 1 40 3.81 5.34 36.58 40.70
6 15 1 35 10.70 9.70 51.38 53.00
7 5 1 45 12.61 15.14 66.32 79.00
8 5 1 35 10.84 13.28 43.12 54.00
9 10 1 40 12.65 12.50 62.92 62.00
10 10 1 45 12.65 12.50 62.92 59.00
11 10 1 40 12.65 12.90 62.92 61.00
12 10 2 40 12.04 12.38 71.49 67.70
13 10 2 40 12.17 13.95 52.49 57.00
14 5 2 45 11.57 11.69 42.09 40.30
15 10 2 40 10.61 12.78 31.43 35.70
16 15 2 40 6.58 6.48 47.70 50.30
17 15 2 35 12.32 8.63 50.16 41.00
18 10 2 45 14.23 12.34 70.23 69.00
19 10 2 35 13.21 11.16 44.99 42.00
20 0 2 40 14.65 15.70 65.81 68.00
21 15 2 45 14.65 15.90 65.81 67.00
22 5 2 35 14.65 15.66 65.81 70.00
1 9.62 1 36.9 13.73 12.8 68.1 67.3
2 8.77 2 37 15.37 14.5 72.9 72.1
