Run   x3      x7        x8        y   ypred
1     -1      -1        -1        26.7      33.4
2     1       -1        -1        13.9      10.3
3     -1      1         -1        33.0      45.6
4     1       1         -1        19.0      22.4
5     -1      -1        1         87.9      84.1
6     1       -1        1         60.0      60.1
7     -1      1         1         94.0      96.2
8     1       1         1         67.3      73.0
9     -1.68   0         0         85.6      78.6
10    1.68    0         0         40.0      39.7
11    0       -1.68     0         43.8      50.0
12    0       1.68      0         78.2      69.4
13    0       0         -1.68     8.2       -0.2
14    0       0         1.68      85.0      85.0
15    0       0         0         53.3      59.2
16    0       0         0         62.7      59.2
17    0       0         0         60.4      59.2
18    0       0         0         66.1      59.2
19    0       0         0         56.6      59.2
20    0       0         0         60.6      59.2
