Run no. Coded values Real values % Removal
   A  B  C  A     B     C
1 +1 +1 +1 5.50 30.00 90.00 84.67
2 +1 +1 -1 5.50 30.00 45.00 86.82
3 +1 -1 +1 5.50 10.00 90.00 90.95
4 -1 +1 -1 3.50 30.00 45.00 91.61
5 +1 -1 -1 5.50 10.00 45.00 94.23
6 -1 -1 ?1 3.50 10.00 90.00 90.60
7 -1 +1 ?1 3.50 30.00 90.00 92.97
8 -1 -1 -1 3.50 10.00 45.00 90.23
9 -a 0 0 2.81 20.00 67.50 92.94
10 +a 0 0 6.18 20.00 67.50 89.22
11 0 -a 0 4.50 3.18 67.50 93.13
12 0 +a 0 4.50 36.81 67.50 89.15
13 0 0 -a 4.50 20.00 29.65 88.85
14 0 0 +a 4.50 20.00 105.34 87.14
15 0 0 0 4.50 20.00 67.50 89.96
16 0 0 0 4.50 20.00 67.50 90.07
17 0 0 0 4.50 20.00 67.50 89.99
18 0 0 0 4.50 20.00 67.50 89.82
19 0 0 0 4.50 20.00 67.50 89.91
20 0 0 0 4.50 20.00 67.50 89.76
