Run Independent Variable a Chlorogenic Acid Extraction Yield (mg/g)
	X1	 X2 	X3 	X4       	Experimental	RSM		 ANN
						Data^b 	    Deviation	 Deviation
	
1 	40 	65 	20 	105 		20.75 ± 3.60  4.70 		 0.02
2 	60 	65 	20 	105 		39.41 ± 1.31  4.42 		 0.04
3 	40 	85 	20 	105 		18.70 ± 1.92  1.30 		 0.01
4 	60 	85 	20 	105 		35.23 ± 1.74  2.24 		 0.00
5 	40 	65 	40 	105 		38.02 ± 3.10  2.55 		 0.00
6 	60 	65 	40 	105 		39.84 ± 2.06  3.33 		 1.65
7 	40 	85 	40 	105 		34.12 ± 2.26  4.01 		 0.00
8 	60 	85 	40 	105 		37.67 ± 2.00  1.51 		 0.01
9 	40 	65 	20 	135 		30.65 ± 1.29  1.58 		 0.00
10 	60 	65 	20 	135 		30.44 ± 4.18  4.39 		 0.40
11 	40 	85 	20 	135 		29.68 ± 3.48  2.96 		 0.01
12 	60 	85 	20 	135 		35.23 ± 2.62  2.48 		 0.01
13 	40 	65 	40 	135 		40.74 ± 1.79  2.62 		 3.19
14 	60 	65 	40 	135 		40.25 ± 2.78  1.23 		 0.37
15 	40 	85 	40 	135 		28.33 ± 3.10  4.50 		 0.01
16 	60 	85 	40 	135 		36.25 ± 0.74  4.32 		 0.32
17 	30 	75 	30 	120 		37.59 ± 1.16  4.92 		 0.36
18 	70 	75 	30 	120 		36.85 ± 1.17  4.47 		 0.01
19 	50 	55 	30 	120 		38.32 ± 0.77  6.53 		 0.00
20 	50 	95 	30 	120 		13.18 ± 2.34  6.08 		 0.00
21 	50 	75 	10 	120 		26.31 ± 0.95  0.29 		 0.01
22 	50 	75 	50 	120 		41.64 ± 2.47  0.74 		 0.01
23 	50 	75 	30 	90 		36.35 ± 1.39  0.38 		 0.00
24 	50 	75 	30 	150 		40.12 ± 1.57  0.83 		 1.54
25 	50 	75 	30 	120 		39.78 ± 2.38  0.14 		 0.12
26 	50 	75 	30 	120 		39.99 ± 2.33  0.07 		 0.10
27 	50 	75 	30 	120 		39.98 ± 0.35  0.07 		 0.09
