Run,EP,Noise,MP_l,UF_l,CI,COI,CIm,COIm,CIe,COIe
1,4,6,Type I,Type I,61.32,1.21,61.32,1.21,0.01,0.17
2,7,3,Type I,Type I,70.72,1.26,67.83,1.34,4.09,6.06
3,6,9,Type I,Type I,76.53,1.39,71.55,1.49,6.52,6.84
4,2,12,Type I,Type I,55.23,1.20,56.79,1.27,2.82,5.53
5,4,5,Type II,Type I,67.12,1.28,66.18,1.32,1.41,2.48
6,6,12,Type II,Type I,71.86,1.51,70.13,1.46,2.41,3.83
7,10,9,Type II,Type I,69.49,1.37,71.08,1.46,2.29,6.80
8,10,11,Type II,Type I,65.25,1.50,70.28,1.44,7.71,4.25
9,4,6,Type II,Type II,79.30,3.23,76.22,3.06,3.89,5.27
10,9,11,Type III,Type II,73.76,3.09,71.18,2.73,3.51,11.75
