Run  X1_code  X1_actual  X2_code  X2_actual  X3_code  X3_actual  X4_code  X4_actual  Yield_Exp  Yield_Pred
1    1        72.00      -1       5.00       1        40.00      1        25.00      88.86      90.14
2    0        48.00       0       6.00       1        40.00      0        20.00      243.32     224.85
3    0        48.00       0       6.00       0        30.00      0        20.00      178.89     177.44
4    1        72.00       0       6.00       0        30.00      0        20.00      192.03     183.22
5   -1        24.00       1       7.00      -1        20.00      1        25.00      220.45     207.73
6    0        48.00       0       6.00       0        30.00      1        25.00      110.22     108.58
7    0        48.00       0       6.00      -1        20.00      0        20.00      200.00     218.18
8    1        72.00      -1       5.00       1        40.00     -1        15.00      230.93     232.68
9    0        48.00       0       6.00       0        30.00      0        20.00      177.00     177.44
10   1        72.00      -1       5.00      -1        20.00     -1        15.00      74.39      81.02
11   0        48.00       0       6.00       0        30.00     -1        15.00      112.00     113.36
12   0        48.00       1       7.00       0        30.00      0        20.00      86.00      84.45
13  -1        24.00       1       7.00      -1        20.00     -1        15.00      65.00      74.75
14  -1        24.00      -1       5.00      -1        20.00     -1        15.00      36.73      14.50
15   0        48.00       0       6.00       0        30.00      0        20.00      176.00     177.44
16   0        48.00       0       6.00       0        30.00      0        20.00      179.00     177.44
17   1        72.00       1       7.00      -1        20.00     -1        15.00      12.00      8.01
18   1        72.00      -1       5.00      -1        20.00      1        25.00      10.00      4.04
19  -1        24.00      -1       5.00       1        40.00      1        25.00      5.00       1.98
20   1        72.00       1       7.00       1        40.00     -1        15.00      50.00      49.27
21  -1        24.00      -1       5.00      -1        20.00      1        25.00      14.18      25.95
22  -1        24.00       1       7.00       1        40.00     -1        15.00      7.00       1.99
23   1        72.00       1       7.00       1        40.00      1        25.00      17.00      28.27
24   0        48.00      -1       5.00       0        30.00      0        20.00      84.00      85.26
25  -1        24.00       1       7.00       1        40.00      1        25.00      65.00      69.41
26  -1        24.00       0       6.00       0        30.00      0        20.00      162.00     170.53
27   1        72.00       1       7.00      -1        20.00      1        25.00      54.00      52.56
28   0        48.00       0       6.00       0        30.00      0        20.00      174.00     177.44
29  -1        24.00      -1       5.00       1        40.00     -1        15.00      39.66      52.13
30   0        48.00       0       6.00       0        30.00      0        20.00      178.90     177.44
