Temp Medium size Agitation Incubation pH Lipase
60 162.5 4 50 60 6 0.2063
60 162.5 2 150 36 8 0
60 87.5 4 50 60 8 0.0207
50 162.5 2 150 60 8 0
60 87.5 4 150 36 8 0
60 162.5 2 50 60 8 0.0291
60 87.5 2 150 36 6 0
50 87.5 4 50 36 8 0.0886
50 162.5 2 50 36 8 0.0724
50 87.5 4 150 60 8 0
50 162.5 4 150 60 6 0.0907
50 87.5 2 50 36 6 0.1945
45 125 3 100 48 7 0.04
65 125 3 100 48 7 0.0229
55 50 3 100 48 7 0.0457
55 200 3 100 48 7 0.0551
55 125 1 100 48 7 0
55 125 5 100 48 7 0.0841
55 125 3 0 48 7 0.0675
55 125 3 200 48 7 0
55 125 3 100 24 7 0.0851
55 125 3 100 72 7 0.0281
55 125 3 100 48 5 0
55 125 3 100 48 9 0
55 125 3 100 48 7 0.049
55 125 3 100 48 7 0.0475
55 125 3 100 48 7 0.046
55 125 3 100 48 7 0.0455
55 125 3 100 48 7 0.0445
60 162.5 4 150 36 6 0
50 162.5 4 50 36 6 0.0693
60 87.5 2 50 60 6 0.0792
50 87.5 2 150 60 6 0.0996
