No.   Sucrose  YeastExtract  K2HPO4  MgSO4   Experimental   RSM_Predicted   ANN_Predicted
1     35       1.0           1.25    0.5     7.97           8.39            7.97
2     65       1.0           1.25    0.5     15.22          14.29           15.21
3     35       2.0           1.25    0.5     9.53           8.91            9.62
4     65       2.0           1.25    0.5     12.60          12.38           12.53
5     35       1.0           1.75    0.5     9.44           8.86            9.43
6     65       1.0           1.75    0.5     13.16          13.57           13.25
7     35       2.0           1.75    0.5     9.81           9.42            9.78
8     65       2.0           1.75    0.5     11.65          11.70           11.62
9     35       1.0           1.25    1.0     8.47           8.56            8.47
10    65       1.0           1.25    1.0     14.05          14.38           13.74
11    35       2.0           1.25    1.0     9.50           9.04            9.50
12    65       2.0           1.25    1.0     11.70          12.43           12.51
13    35       1.0           1.75    1.0     7.09           7.25            7.89
14    65       1.0           1.75    1.0     11.10          11.87           11.17
15    35       2.0           1.75    1.0     6.69           7.77            6.67
16    65       2.0           1.75    1.0     10.44          9.97            11.24
17    20       1.5           1.5     0.75    6.29           6.49            6.30
18    80       1.5           1.5     0.75    14.88          14.59           14.88
19    50       0.5           1.5     0.75    12.25          11.96           12.23
20    50       2.5           1.5     0.75    10.38          10.58           10.38
21    50       1.5           1.0     0.75    10.65          11.03           10.62
22    50       1.5           2.0     0.75    9.50           9.03            9.49
23    50       1.5           1.5     0.25    10.16          11.14           11.03
24    50       1.5           1.5     1.25    10.65          9.58            10.62
25    50       1.5           1.5     0.75    11.13          11.12           11.17
26    50       1.5           1.5     0.75    11.50          11.12           11.17
27    50       1.5           1.5     0.75    11.10          11.12           11.17
28    50       1.5           1.5     0.75    10.99          11.12           11.17
29    50       1.5           1.5     0.75    10.98          11.12           11.17
30    50       1.5           1.5     0.75    11.03          11.12           11.17
31    20       0.5           1.0     0.025   3.29           2.91            3.05
32    20       1.0           1.3     0.05    6.01           4.88            5.47
33    20       1.5           1.6     0.075   5.23           6.01            5.96
34    20       2.0           1.9     0.1     6.31           6.29            5.89
35    40       0.5           1.3     0.075   9.01           9.98            10.16
36    40       1.0           1.0     0.1     7.12           11.74           7.33
37    40       1.5           1.9     0.025   10.25          11.53           9.17
38    40       2.0           1.6     0.05    7.50           9.95            10.18
39    60       0.5           1.6     0.1     12.49          13.18           12.49
40    60       1.0           1.9     0.075   12.59          12.92           12.03
41    60       1.5           1.0     0.05    9.00           14.17           10.85
42    60       2.0           1.3     0.025   13.30          11.75           12.60
43    80       0.5           1.9     0.05    13.20          18.41           14.04
44    80       1.0           1.6     0.025   16.58          16.87           15.62
45    80       1.5           1.3     0.1     13.80          16.01           13.01
46    80       2.0           1.0     0.075   14.30          16.89           14.13
