Run	x1 x2 x3 x4 x5 x6 x7 x8 x9 y
1 	0  1  1  1  1  1  1  1  1 96.3
2     0 -1 -1 -1 -1 -1 -1 -1 -1 3.6
3     1  0 -1 -1 -1 -1  1  1  1  99.1
4     -1 0  1  1  1  1 -1 -1 -1  7.4
5     1 -1  0  -1  1 1 -1 -1  1  6.4
6    -1  1  0   1 -1 -1 1  1 -1 96.9
7     1 -1 -1   0  1  1 1  1 -1 98.6
8    -1  1  1   0 -1 -1 -1 -1  1 14.2
9     1 -1  1   1  0 -1 -1 1 -1 40.8
10   -1  1 -1  -1  0  1  1 -1 1 75.2
11    1 -1  1   1 -1  0  1 -1 1 60.3
12   -1  1 -1  -1  1  0 -1  1 -1 59.9
13    1  1 -1   1 -1  1  0 -1 -1 93.8
14   -1 -1  1  -1  1 -1  0  1  1 84.1
15    1  1 -1   1  1 -1 -1  0  1 75.7
16   -1 -1  1  -1 -1  1  1  0 -1 46.4
17    1  1  1  -1 -1  1 -1  1  0 50.0
18   -1 -1 -1   1  1 -1  1 -1  0 62.1
19    1  1  1  -1  1 -1  1 -1 -1 33.5
20   -1 -1 -1   1 -1  1 -1  1  1 33.1
21    0  0  0   0  0  0  0  0  0 40.6
