Run SEB DPF Time Temperature Inoculation TCP AS OA OAd OAde OAa OAae 
1 L1 6 9 35 8 20 20 222.33 209.77 12.56 213.22 9.11
3 L2 4 9 25 8 10 10 240.65 235.52 5.13 236.61 4.04
4 L1 4 5 35 4 20 20 283.76 311.12 27.36 315.60 31.84
8 L1 2 5 30 8 10 20 240.41 246.88 6.47 250.11 9.70
9 L2 2 5 35 6 20 10 341.26 367.89 26.63 355.06 13.80
11 L2 6 5 25 4 15 20 200.61 225.77 25.16 216.49 15.88
12 L1 2 9 35 8 15 10 300.00 320.87 20.87 315.87 15.87
13 L2 6 5 35 8 10 15 311.64 309.50 2.14 314.25 2.61
14 L1 2 9 25 4 20 15 223.27 237.14 13.87 239.23 15.96
15 L2 2 9 35 4 10 20 385.64 381.36 4.28 372.78 12.86
16 L1 6 5 25 8 20 10 149.46 165.27 15.81 160.43 10.97
17 L1 4 7 30 6 15 15 260.29 262.83 2.53 262.56 2.27
18 L2 4 7 30 6 15 15 297.28 283.81 13.47 292.09 5.19
20 L2 2 5 25 4 10 10 353.26 336.87 16.39 344.69 8.57
21 L2 4 9 25 8 10 10 220.81 235.52 14.71 236.61 15.80
23 L2 2 7 25 8 20 20 141.85 166.87 25.02 158.65 16.80
24 L1 6 7 35 4 10 10 351.46 379.77 28.31 378.04 26.58
25 L2 6 9 30 4 20 10 314.47 299.76 14.71 318.41 3.94
26 L1 2 5 30 8 10 20 266.61 246.88 19.73 250.11 16.50
27 L2 2 5 35 6 20 10 371.80 367.89 3.91 355.06 16.74
28 L1 6 9 25 6 10 20 190.84 178.74 12.10 172.37 18.47
30 L1 2 9 35 8 15 10 321.53 320.87 0.66 315.87 5.66
34 L1 6 5 25 8 20 10 178.14 165.27 12.87 160.43 17.71
35 L1 4 7 30 6 15 15 264.21 262.83 1.38 262.56 1.65
36 L2 4 7 30 6 15 15 298.65 283.81 14.84 292.09 6.56
37 L1 6 9 35 8 20 20 200.64 209.77 9.13 213.22 12.58
38 L2 2 5 25 4 10 10 361.47 336.87 24.60 344.69 16.78
43 L2 6 9 30 4 20 10 315.82 299.76 16.06 318.41 2.59
46 L1 6 9 25 6 10 20 171.83 178.74 6.91 172.37 0.54
47 L2 6 5 25 4 15 20 219.77 225.77 6.00 216.49 3.28
48 L1 2 9 35 8 15 10 323.66 320.87 2.79 315.87 7.79
50 L1 2 9 25 4 20 15 251.86 237.14 14.72 239.23 12.63
51 L2 2 9 35 4 10 20 382.46 381.36 1.10 372.78 9.68
52 L1 6 5 25 8 20 10 160.95 165.27 4.32 160.43 0.52
53 L1 4 7 30 6 15 15 283.44 262.83 20.61 262.56 20.88
54 L2 4 7 30 6 15 15 310.46 283.81 26.65 292.09 18.37
