Run	Yield	A	B	C	D	E	Fa	G	H	I	J
1	1.38	-1	1	1	0	1	-1	1	-1	1	1
2	6.44	1	-1	-1	-1	1	-1	1	1	0	1
3	5.96	-1	-1	1	-1	-1	1	-1	1	1	0
4	4.34	0	-1	1	1	1	1	1	1	-1	-1
5	10.46	-1	-1	-1	-1	-1	0	1	-1	-1	-1
6	6.95	-1	-1	1	-1	1	-1	-1	0	-1	-1
7	8.58	1	0	-1	1	1	-1	-1	-1	1	-1
8	2.69	0	1	-1	-1	-1	-1	-1	-1	1	1
9	4.30	-1	1	-1	1	0	-1	-1	1	-1	1
10	0.77	1	-1	1	-1	0	1	1	-1	1	-1
11	2.87	-1	1	1	1	-1	1	-1	-1	0	-1
12	1.01	1	1	1	1	1	0	-1	1	1	1
13	9.47	-1	-1	-1	1	1	1	0	-1	1	1
14	7.49	0	0	0	0	0	0	0	0	0	0
15	0.98	1	1	-1	1	1	-1	1	-1	-1	0
16	0.86	1	1	1	-1	-1	-1	0	1	-1	-1
17	1.25	-1	1	-1	-1	1	1	1	1	1	-1
18	1.03	1	-1	1	1	-1	-1	-1	-1	-1	1
19	1.07	1	1	0	-1	1	1	-1	-1	-1	1
20	7.33	0	0	0	0	0	0	0	0	0	0
21	2.61	1	-1	-1	0	-1	1	-1	1	-1	-1
22	11.39	-1	-1	0	1	-1	-1	1	1	1	-1
23	12.96	-1	0	1	-1	-1	1	1	1	-1	1
24	1.18	1	1	-1	1	-1	1	1	0	1	1
25	15.93	-1	-0.333	-1	1	-1	-1	1	1	1	1
26	2.90	-1	1	-1	1	-1	-1	1	1	1	1
27	16.16	-1	-0.333	-1	-1	-1	-1	1	1	1	1
28	15.10	-1	-0.333	-1	0	-1	-1	1	1	1	1
