Sample,Tcrys,poxy,TDew,Dwell,Heating,Rotation,ErP,ErA
1,780,300,22,90,20,4000,1.99,1.91
2,780,150,16,38,10,2000,2.35,2.13
3,790,225,22,38,10,4000,2.17,0
4,770,225,16,90,20,2000,3.35,2.13
5,790,300,19,90,10,2000,2.42,1.08
6,770,150,19,38,20,4000,2.76,1.17
7,790,150,22,64,20,2000,0,0
8,770,300,16,64,10,4000,3.67,2.93
9,790,150,16,90,15,2000,1.81,1.98
10,770,300,22,38,15,4000,2.47,0.33
11,790,300,16,38,20,3000,2.52,1.29
12,770,150,22,90,10,3000,0.84,0.23
13,780,225,19,64,15,3000,2.6,2.19
14,780,225,19,64,15,3000,2.83,1.97
15,780,225,19,64,20,2000,2.68,2.64
16,790,225,19,64,20,2000,1.06,NA
17,780,225,19,64,20,3000,1.8,NA
18,770,300,16,90,20,3000,3.17,NA
19,770,275,16,38,20,4000,3.37,NA
20,770,300,16,90,20,2000,2.95,NA
21,770,150,22,90,10,3000,0.33,NA
22,770,300,22,38,15,2000,1.99,NA
23,770,300,16,90,20,3000,2.82,NA
24,770,300,16,90,20,3000,2.97,NA
25,770,256,16,64,15,3000,3.21,NA
26,770,256,16,64,15,4000,3.61,NA
27,780,225,19,64,10,2000,NA,2.45
28,780,225,19,64,15,3000,NA,2.19
29,770,275,16,38,20,3000,NA,2.21
30,778.5,225,16,64,15,3000,NA,2.88
31,778.5,225,16,64,15,4000,NA,3.07
