Run	Type	X1	X2	X3	X4	X5	X6	X7	X8	Actual	DSD_Pred	DSD_Residual	ANN_Pred	ANN_Residual
1	Validation	0	1	1	1	1	1	1	1	69.49	71.78	-2.30	69.65	-0.16
2	Training	0	-1	-1	-1	-1	-1	-1	-1	71.88	70.65	1.23	72.31	-0.43
3	Training	1	0	-1	-1	-1	-1	1	1	77.75	79.46	-1.71	77.72	0.03
4	Training	-1	0	1	1	1	1	-1	-1	64.79	62.98	1.81	64.43	0.36
5	Training	1	-1	0	-1	1	1	-1	-1	59.90	62.10	-2.20	59.59	0.31
6	Validation	-1	1	0	1	-1	-1	1	1	81.66	80.34	1.32	83.34	-1.68
7	Validation	1	-1	-1	0	1	1	1	1	65.66	63.38	2.28	66.43	-0.77
8	Training	-1	1	1	0	-1	-1	-1	-1	77.82	79.06	-1.24	78.45	-0.63
9	Training	1	-1	1	1	0	-1	-1	1	82.57	81.28	1.29	82.24	0.33
10	Training	-1	1	-1	-1	0	1	1	-1	58.72	61.16	-2.43	59.58	-0.85
11	Training	1	-1	1	1	-1	0	1	-1	62.23	65.54	-3.31	61.64	0.59
12	Validation	-1	1	-1	-1	1	0	-1	1	77.31	76.89	0.42	76.72	0.59
13	Validation	1	1	-1	1	-1	1	0	-1	74.89	72.65	2.24	74.74	0.15
14	Training	-1	-1	1	-1	1	-1	0	1	68.31	69.79	-1.48	69.10	-0.79
15	Validation	1	1	-1	1	1	-1	-1	0	96.69	100.28	-3.58	97.05	-0.35
16	Validation	-1	-1	1	-1	-1	1	1	0	42.30	42.16	0.14	42.52	-0.23
17	Validation	1	1	1	-1	-1	1	-1	1	66.38	66.85	-0.47	66.49	-0.11
18	Validation	-1	-1	-1	1	1	-1	1	-1	75.22	75.59	-0.36	75.56	-0.34
19	Training	1	1	1	-1	1	-1	1	-1	93.91	90.64	3.27	93.25	0.66
20	Validation	-1	-1	-1	1	-1	1	-1	1	51.43	51.79	-0.36	50.03	1.40
21	Training	0	0	0	0	0	0	0	0	71.69	71.22	0.47	72.51	-0.83
22	Validation	0	0	0	0	0	0	0	0	73.90	71.22	2.68	72.51	1.39
23	Training	0	0	0	0	0	0	0	0	72.11	71.22	0.89	72.51	-0.40
24	Validation	0	0	0	0	0	0	0	0	73.32	71.22	2.11	72.51	0.81
25	Training	0	0	0	0	0	0	0	0	70.54	71.22	-0.68	72.51	-1.98
26	Training	0	1	1	1	1	1	1	1	68.49	71.78	-3.30	69.65	-1.16
27	Validation	0	-1	-1	-1	-1	-1	-1	-1	70.87	70.65	0.22	72.31	-1.44
28	Training	1	0	-1	-1	-1	-1	1	1	75.74	79.46	-3.72	77.72	-1.98
29	Training	-1	0	1	1	1	1	-1	-1	63.79	62.98	0.81	64.43	-0.64
30	Validation	1	-1	0	-1	1	1	-1	-1	57.89	62.10	-4.21	59.59	-1.70
31	Training	-1	1	0	1	-1	-1	1	1	84.66	80.34	4.32	83.34	1.32
32	Validation	1	-1	-1	0	1	1	1	1	64.66	63.38	1.28	66.43	-1.78
33	Training	-1	1	1	0	-1	-1	-1	-1	79.82	79.06	0.76	78.45	1.37
34	Training	1	-1	1	1	0	-1	-1	1	80.50	81.28	-0.78	82.24	-1.74
35	Training	-1	1	-1	-1	0	1	1	-1	57.72	61.16	-3.44	59.58	-1.86
36	Training	1	-1	1	1	-1	0	1	-1	60.24	65.54	-5.31	61.64	-1.41
37	Validation	-1	1	-1	-1	1	0	-1	1	75.31	76.89	-1.59	76.72	-1.41
38	Training	1	1	-1	1	-1	1	0	-1	73.89	72.65	1.24	74.74	-0.86
39	Validation	-1	-1	1	-1	1	-1	0	1	66.30	69.79	-3.49	69.10	-2.80
40	Training	1	1	-1	1	1	-1	-1	0	94.69	100.28	-5.59	97.05	-2.36
41	Training	-1	-1	1	-1	-1	1	1	0	44.30	42.16	2.14	42.52	1.78
42	Training	1	1	1	-1	-1	1	-1	1	64.38	66.85	-2.47	66.49	-2.11
43	Training	-1	-1	-1	1	1	-1	1	-1	74.22	75.59	-1.37	75.56	-1.35
44	Training	1	1	1	-1	1	-1	1	-1	90.90	90.64	0.26	93.25	-2.35
45	Training	-1	-1	-1	1	-1	1	-1	1	49.43	51.79	-2.36	50.03	-0.60
46	Validation	0	0	0	0	0	0	0	0	69.68	71.22	-1.54	72.51	-2.83
47	Training	0	0	0	0	0	0	0	0	75.91	71.22	4.69	72.51	3.40
48	Training	0	0	0	0	0	0	0	0	70.11	71.22	-1.11	72.51	-2.40
49	Training	0	0	0	0	0	0	0	0	72.32	71.22	1.10	72.51	-0.19
50	Validation	0	0	0	0	0	0	0	0	69.53	71.22	-1.69	72.51	-2.98
51	Training	0	1	1	1	1	1	1	1	70.49	71.78	-1.29	69.65	0.84
52	Training	0	-1	-1	-1	-1	-1	-1	-1	72.89	70.65	2.24	72.31	0.58
53	Training	1	0	-1	-1	-1	-1	1	1	79.75	79.46	0.29	77.72	2.03
54	Validation	-1	0	1	1	1	1	-1	-1	65.79	62.98	2.81	64.43	1.36
55	Training	1	-1	0	-1	1	1	-1	-1	61.90	62.10	-0.20	59.59	2.31
56	Training	-1	1	0	1	-1	-1	1	1	78.66	80.34	-1.68	83.34	-4.68
57	Training	1	-1	-1	0	1	1	1	1	66.66	63.38	3.28	66.43	0.23
58	Training	-1	1	1	0	-1	-1	-1	-1	75.82	79.06	-3.24	78.45	-2.63
59	Training	1	-1	1	1	0	-1	-1	1	84.64	81.28	3.36	82.24	2.40
60	Validation	-1	1	-1	-1	0	1	1	-1	59.73	61.16	-1.43	59.58	0.15
61	Training	1	-1	1	1	-1	0	1	-1	64.24	65.54	-1.30	61.64	2.60
62	Training	-1	1	-1	-1	1	0	-1	1	79.31	76.89	2.42	76.72	2.59
63	Training	1	1	-1	1	-1	1	0	-1	75.90	72.65	3.25	74.74	1.16
64	Training	-1	-1	1	-1	1	-1	0	1	70.32	69.79	0.53	69.10	1.22
65	Training	1	1	-1	1	1	-1	-1	0	98.69	100.28	-1.59	97.05	1.64
66	Training	-1	-1	1	-1	-1	1	1	0	40.30	42.16	-1.86	42.52	-2.22
67	Training	1	1	1	-1	-1	1	-1	1	68.39	66.85	1.54	66.49	1.90
68	Training	-1	-1	-1	1	1	-1	1	-1	76.23	75.59	0.64	75.56	0.67
69	Training	1	1	1	-1	1	-1	1	-1	96.92	90.64	6.28	93.25	3.67
70	Validation	-1	-1	-1	1	-1	1	-1	1	53.44	51.79	1.65	50.03	3.41
71	Training	0	0	0	0	0	0	0	0	73.70	71.22	2.48	72.51	1.19
72	Validation	0	0	0	0	0	0	0	0	71.80	71.22	0.58	72.51	-0.71
73	Training	0	0	0	0	0	0	0	0	74.11	71.22	2.89	72.51	1.60
74	Validation	0	0	0	0	0	0	0	0	74.33	71.22	3.11	72.51	1.82
75	Validation	0	0	0	0	0	0	0	0	71.54	71.22	0.32	72.51	-0.97
