Run X1 X2 X3 X4 X5 X6 LengthDiff DiameterDiff
1 0.1270 0 0 90 0.5177 10 0.672730 -1.816350
2 0.3302 0.25 0 90 0.5782 1 1.365611 8.061420
3 0.1270 0.50 45 90 0.4572 1 0.647894 -1.918220
4 0.1270 0.50 0 0 0.5782 5 -0.325530 1.291605
5 0.1270 0 90 45 0.5782 1 0.174847 -1.409870
6 0.3302 0.50 0 45 0.4572 10 0.697559 -1.714570
7 0.2540 0 0 0 0.4572 1 0.821611 1.192843
8 0.3302 0.50 90 0 0.5177 1 1.192843 1.882120
9 0.1270 0.25 90 0 0.4572 10 0.224747 -0.803210
10 0.3302 0 90 90 0.4572 5 0.871189 -2.122280
11 0.2540 0.50 90 90 0.5782 10 0.647894 -1.714570
12 0.2540 0.25 45 45 0.5177 5 0.937097 3.729146
13 0.3302 0 45 0 0.5782 10 0.772008 1.587302
14 0.2540 0.25 45 45 0.5177 5 0.995025 3.632793
15 0.2540 0.25 45 45 0.5177 5 0.908133 3.052683
16 0.2540 0.25 45 45 0.5177 5 0.951579 3.439803
