Exp_No	LT	NP	ID	FA	PS	ET	BT	BO	Ra	TS	FS
1	0.2	6	100	90	80	280	100	90	15.00	45.02	53.22
2	0.1	2	100	90	80	270	80	0	8.07	56.25	64.39
3	0.3	6	60	90	80	260	90	0	15.33	43.79	54.28
4	0.1	6	80	90	60	260	80	90	14.56	38.24	43.96
5	0.3	6	100	45	60	280	80	0	12.20	64.29	72.69
6	0.3	6	60	0	60	270	100	90	19.95	46.26	52.12
7	0.3	6	60	90	80	260	90	0	15.90	43.10	53.15
8	0.1	2	100	0	60	280	90	90	9.14	71.12	80.57
9	0.3	2	60	90	70	280	80	90	17.06	32.33	37.92
10	0.3	6	60	0	60	270	100	90	20.60	45.10	50.22
11	0.1	2	100	0	60	280	90	90	8.82	69.56	80.00
12	0.1	6	100	0	70	260	100	0	4.37	73.72	86.46
13	0.1	2	60	45	80	260	100	90	14.55	42.52	49.72
14	0.1	6	60	0	80	280	80	45	10.93	49.28	57.79
15	0.1	6	60	0	80	280	80	45	11.22	50.30	55.34
16	0.1	2	100	90	80	270	80	0	8.69	55.05	62.17
17	0.1	6	100	0	70	260	100	0	4.51	73.16	85.79
18	0.3	2	80	0	80	280	100	0	17.16	61.78	72.32
19	0.1	6	60	0	80	280	80	45	10.54	50.97	59.78
20	0.1	2	100	0	60	280	90	90	9.80	72.48	84.96
21	0.1	2	60	45	80	260	100	90	14.42	41.13	46.60
22	0.1	6	80	90	60	260	80	90	15.91	37.19	42.75
23	0.2	4	80	45	70	270	90	45	12.94	51.14	60.32
24	0.1	4	60	90	60	280	100	0	7.63	49.32	57.84
25	0.3	2	80	0	80	280	100	0	17.17	62.01	72.72
26	0.3	6	60	90	80	260	90	0	15.22	45.14	54.29
27	0.2	2	60	0	60	260	80	0	11.26	49.28	57.39
28	0.1	4	60	90	60	280	100	0	8.06	50.93	59.74
29	0.3	6	100	45	60	280	80	0	12.93	65.98	77.38
30	0.1	2	100	90	80	270	80	0	7.70	56.51	67.53
31	0.2	4	80	45	70	270	90	45	13.39	52.86	61.99
32	0.2	2	60	0	60	260	80	0	10.99	50.73	59.49
33	0.1	6	100	0	70	260	100	0	3.85	71.16	83.46
34	0.3	2	100	90	60	260	100	45	16.78	48.73	57.15
35	0.3	6	100	45	60	280	80	0	11.96	64.55	75.70
36	0.3	4	100	0	80	260	80	90	20.36	36.62	42.95
37	0.3	4	100	0	80	260	80	90	20.55	35.81	42.00
38	0.2	6	100	90	80	280	100	90	15.49	44.98	49.04
39	0.3	2	100	90	60	260	100	45	15.80	48.58	56.98
40	0.1	4	60	90	60	280	100	0	8.45	50.24	58.92
41	0.2	6	100	90	80	280	100	90	14.67	43.29	50.77
42	0.3	2	80	0	80	280	100	0	17.16	62.44	73.23
43	0.1	6	80	90	60	260	80	90	16.00	36.16	42.40
44	0.2	2	60	0	60	260	80	0	10.66	51.20	60.05
45	0.3	2	100	90	60	260	100	45	15.62	47.89	56.16
46	0.1	2	60	45	80	260	100	90	14.32	43.55	50.51
47	0.2	4	80	45	70	270	90	45	12.50	54.50	63.91
48	0.3	6	60	0	60	270	100	90	19.95	46.42	51.68
49	0.3	2	60	90	70	280	80	90	16.38	31.50	36.63
50	0.3	4	100	0	80	260	80	90	20.72	35.29	41.38
51	0.3	2	60	90	70	280	80	90	16.79	31.93	36.64
