Run,CenterPoint,Temp,HT,CSA,UTS
1,1,450,60,15.4,28.500
2,1,550,60,15.4,191.70
3,1,450,120,15.4,58.200
4,1,550,120,15.4,235.30
5,1,450,60,52.6,20.700
6,1,550,60,52.6,172.01
7,1,450,120,52.6,42.300
8,1,550,120,52.6,206.70
9,1,450,60,15.4,26.900
10,1,550,60,15.4,193.80
11,1,450,120,15.4,54.800
12,1,550,120,15.4,237.40
13,1,450,60,52.6,18.300
14,1,550,60,52.6,171.40
15,1,450,120,52.6,43.700
16,1,550,120,52.6,210.60
17,0,500,90,34.0,154.20
18,0,500,90,34.0,152.93
19,0,500,90,34.0,155.30
20,-1,450,90,34.0,33.010
21,-1,550,90,34.0,202.66
22,-1,500,60,34.0,135.00
23,-1,500,120,34.0,164.60
24,-1,500,90,15.4,161.40
25,-1,500,90,52.6,140.83
26,0,500,90,34.0,151.24
27,0,500,90,34.0,154.97
28,0,550,120,15.4,235.15
