Exp	vc	f	alpha	Ra	Rapred
1	75	0.125	0.08	0.87	0.82
2	175	0.025	0.08	0.24	0.25
3	175	0.075	0.10	0.36	0.33
4	175	0.125	0.06	0.58	0.59
5	75	0.075	0.08	0.33	0.36
6	75	0.125	0.10	0.93	0.87
7	75	0.075	0.10	0.32	0.36
8	125	0.125	0.06	0.68	0.64
9	175	0.025	0.06	0.29	0.28
10	175	0.025	0.10	0.27	0.27
11	125	0.125	0.10	0.67	0.76
12	125	0.025	0.08	0.25	0.22
13	75	0.025	0.08	0.22	0.19
14	75	0.125	0.06	0.67	0.71
15	175	0.075	0.08	0.32	0.34
16	125	0.125	0.08	0.68	0.71
17	125	0.025	0.10	0.24	0.23
18	175	0.125	0.10	0.68	0.65
19	125	0.025	0.06	0.21	0.26
20	125	0.075	0.06	0.41	0.40
21	125	0.075	0.10	0.35	0.33
22	75	0.025	0.06	0.26	0.24
23	175	0.125	0.08	0.64	0.63
24	75	0.075	0.06	0.38	0.39
25	125	0.075	0.08	0.30	0.34
26	75	0.025	0.10	0.24	0.19
27	175	0.075	0.06	0.44	0.40

