No. Factors Biomass (g/L) CaCO3 (g/L)
A B C D E F G H Predicted Observed Predicted Observed
1 22.00 0.100 0.020 0.1 0.07 7.50 30 0.05 0.87 0.85 0.361 0.389
2 22.00 0.100 0.00077 0.1 0.07 50.00 24 30.00 1.00 1.00 0.694 0.655
3 2.50 0.100 0.020 0.1 0.33 50.00 30 0.05 1.25 1.20 0.652 0.624
4 22.00 0.010 0.00077 0.1 0.33 7.50 30 30.00 0.60 0.50 0.206 0.190
5 22.00 0.010 0.020 1.5 0.07 50.00 30 30.00 0.85 0.90 0.561 0.588
6 12.25 0.055 0.01038 0.8 0.20 28.75 27 15.03 1.05 1.10 0.583 0.598
7 2.50 0.010 0.020 0.1 0.33 50.00 24 30.00 0.98 1.00 0.625 0.654
8 22.00 0.100 0.00077 1.5 0.33 50.00 24 0.05 1.12 1.20 0.756 0.795
9 2.50 0.100 0.00077 1.5 0.33 7.50 31 30.00 1.25 1.30 0.703 0.720
10 2.50 0.100 0.020 1.5 0.07 7.50 24 30.00 1.25 1.20 0.830 0.813
11 2.50 0.010 0.00077 1.5 0.07 50.00 30 0.05 1.10 1.00 0.717 0.690
12 22.00 0.010 0.020 1.5 0.33 7.50 24 0.05 0.72 0.70 0.396 0.356
13 2.50 0.010 0.00077 0.1 0.07 7.50 24 0.05 0.85 1.00 0.490 0.517
14 12.25 0.055 0.01038 0.8 0.20 28.75 27 15.03 1.05 1.00 0.583 0.568
