No  Formula  X1        X2       X3   X4      X5      X6      X7      X8      X9      X10  X11     Y1     Y2      Y3    Y4     Y1_pred  Y2_pred  Y3_pred  Y4_pred
1   1        7000000   100.00   1.0  0.00    9.91    100.00  20.00   5.00    5.00    -1.0 5.00     3.49   0.100  94.63  97.12  3.49     0.100    94.63    97.12
2   2        7000000   300.00  -1.0 50.00   9.91    100.00  0.00    5.00    5.00     1.0 0.00     11.09  0.79   62.03  80.67  11.09    0.79     62.03    80.67
3   3        600000    300.00   1.0  0.00  136.00   100.00  0.00    0.00    5.00     1.0 5.00     3.93   0.33   91.85  99.29  3.93     0.33     91.85    99.29
4   4        7000000   100.00   1.0 50.00   9.91    200.00  0.00    0.00    0.00     1.0 5.00     5.72   0.34   86.90  93.37  5.72     0.34     86.90    93.37
5   5        7000000   300.00  -1.0 50.00  136.00   100.00  20.00   0.00    0.00    -1.0 5.00     7.87   0.75   67.94  88.92  7.87     0.75     67.94    88.92
6   6        7000000   300.00   1.0  0.00  136.00   200.00  0.00    5.00    0.00    -1.0 0.00     3.88   0.26   87.18  99.54  3.88     0.26     87.18    99.54
7   7        600000    300.00   1.0 50.00   9.91    200.00  20.00   0.00    5.00    -1.0 0.00     14.18  0.94   43.54  73.64  14.18    0.94     43.54    73.64
8   8        600000    100.00   1.0 50.00  136.00   100.00  20.00   5.00    0.00     1.0 0.00     4.06   0.41   88.78  99.33  4.06     0.41     88.78    99.33
9   9        600000    100.00  -1.0 50.00  136.00   200.00  0.00    5.00    5.00    -1.0 5.00     3.13   0.10   94.20  99.07  3.13     0.10     94.20    99.07
10  10       7000000   100.00  -1.0  0.00  136.00   200.00  20.00   0.00    5.00     1.0 0.00     4.24   0.09   92.34  95.03  4.24     0.09     92.34    95.03
11  11       600000    300.00  -1.0  0.00   9.91    200.00  20.00   5.00    0.00     1.0 5.00     4.94   0.40   89.34  95.39  4.94     0.40     89.34    95.39
12  12       600000    100.00  -1.0  0.00   9.91    100.00  0.00    5.00    0.00    -1.0 0.00     2.75   0.30   94.55  99.94  2.75     0.30     94.55    99.94
13  V1       600000    292.21   NA  47.66   9.91    134.70  19.87   0.36   4.08      NA  0.28    13.74   0.97   47.59  74.83  12.77   0.953     50.97    76.96
14  V2       600000    298.86   NA  47.50   9.91    125.97  15.86   0.12   4.94      NA  0.81    14.26   0.92   46.52  74.59  12.74   0.942     51.51    76.98
