Run A B C D E Y1 Y2 Y3 Y4 Y5 Y6
1 1 -1 -1 1 -1 7.22 22.80 1.09 0.85 1.2 4.71
2 1 1 -1 -1 1 5.99 18.91 0.73 0.91 0.74 4.70
3 1 1 1 -1 -1 6.12 8.44 0.81 0.88 1.2 4.71
4 -1 1 1 1 -1 8.45 28.85 1.1 0.87 0.8 7.50
5 1 -1 1 1 1 5.47 4.36 0.86 1.04 0.82 2.90
6 -1 1 -1 1 1 6.87 26.00 0.70 0.91 0.91 6.30
7 -1 -1 1 -1 1 6.30 17.00 0.70 0.91 0.91 6.00
8 -1 -1 -1 -1 -1 6.16 24.80 1.00 0.60 1.79 10.25
9 0 0 0 0 0 6.16 19.80 0.93 0.92 0.83 4.83
10 0 0 0 0 0 6.25 19.10 0.93 0.92 0.82 4.83
11 0 0 0 0 0 6.83 19.00 0.93 0.93 0.82 4.83
