Trial  A            B             C           D                   E         F             Y
1      -1            1             1            -1                1          1             8.28
2      1             1             -1           1                 1          1             3.03
3      0             0             0            0                 0          0             4.71
4      1             1             1            -1                -1         -1            4.51
5      1             -1            1            1                 1          -1            1.87
6      -1            -1            1            -1                1          1             3.35
7      0             0             0            0                 0          0             5.91
8      -1            1             -1           1                 1          -1            11.42
9      0             0             0            0                 0          0             4.91
10     1             -1            1            1                 -1         1             0.05
11     -1            1             1            1                 -1         -1            10.94
12     -1            -1            -1           -1                -1         -1            8.75
13     1             -1            -1           -1                1          -1            1.15
14     1             1             -1           -1                -1         1             3.87
15     -1            -1            -1           1                 -1         1             4.17
