StdOrder  Power     Time       Particle      Solvent     Solid      pH  Extract Colchicine  Predicted
1         600       3          1             20          15         2   2      6.104              6.11
2         600       9          0.5           40          15         2   1      4.980              5.01
3         300       9          1             20          30         2   1      6.660              6.488
4         600       3          1             40          15         6   1      2.824              2.88
5         600       9          0.5           40          30         2   2      5.041              5.007
6         600       9          1             20          30         6   1      5.304              5.476
7         300       9          1             40          15         6   2      2.824              2.492
8         300       3          1             40          30         2   2      3.624              3.885
9         300       3          0.5           40          30         6   1      1.864              1.877
10        600       3          0.5           20          30         6   2      4.344              4.102
11        300       9          0.5           20          15         6   2      3.390              3.721
12        300       3          0.5           20          15         2   1      5.224              5.120
