run  Conc  Times  Temp  Agit  SNratio  Resp  Stdev
1    125   2      25    0     36.25    65    4
2    125   4      30    50    36.52    67    7
3    125   8      35    100   36.77    69    9
4    125   16     40    150   36.90    70    3
5    250   2      30    100   37.15    72    5
6    250   4      25    150   37.276   73    4
7    250   8      40    0     37.38    74    7
8    250   16     35    50    37.61    76    6
9    500   2      35    150   38.59    85    3
10   500   4      40    100   38.89    88    6
11   500   8      25    50    38.38    83    5
12   500   16     30    0     38.59    85    5
13   1000  2      40    50    37.03    71    7
14   1000  4      35    0     37.03    71    4
15   1000  8      30    150   36.66    68    6
16   1000  16     25    100   36.12    64    5
