Run    L      S        D      COF     Ws      Ws(mm3/Nm)   S/N(dB)
1      20     1        1000   0.531   2.31               5.4981   7.2722
2      20     2        2000   0.559   2.79               5.0518   8.9121
3      20     3        3000   0.57    2.53               4.8825   8.0624
4      40     1        2000   0.457   3.22               6.8017   10.1571
5      40     2        3000   0.463   3.52               6.6884   10.9309
6      40     3        1000   0.471   3.38               6.5396   10.5783
7      60     1        3000   0.411   3.79               7.7232   11.5728
8      60     2        1000   0.434   3.63               7.2502   11.1981
9      60     3        2000   0.452   4.11               6.8972   12.2768
10     60     1        1000   0.428   3.56

