Run   A     B     C     D      E     F      Deformations   MSDs       SNR
1     27.8  15.8  43.8  99.8   13.8  9.8    0.18830        0.035458   14.50286
2     27.8  16.0  44.0  100.0  14.0  10.0   0.17801        0.031689   14.99093
3     27.8  16.2  44.2  100.2  14.2  10.2   0.16526        0.027312   15.63641
4     28.0  15.8  43.8  100.0  14.0  10.2   0.17734        0.031449   15.02393
5     28.0  16.0  44.0  100.2  14.2  9.8    0.18509        0.034260   14.65219
6     28.0  16.2  44.2  99.8   13.8  10.0   0.17414        0.030326   15.18182
7     28.2  15.8  44.0  99.8   14.2  10.0   0.19171        0.036752   14.34714
8     28.2  16.0  44.2  100.0  13.8  10.2   0.17207        0.029608   15.28590
9     28.2  16.2  43.8  100.2  14.0  9.8    0.17917        0.032102   14.93467
10    27.8  15.8  44.2  100.2  14.0  10.0   0.18201        0.033129   14.79794
11    27.8  16.0  43.8  99.8   14.2  10.2   0.17490        0.030592   15.14398
12    27.8  16.2  44.0  100.0  13.8  9.8    0.17024        0.028982   15.37867
13    28.0  15.8  44.0  100.2  13.8  10.2   0.17542        0.030771   15.11860
14    28.0  16.0  44.2  99.8   14.0  9.8    0.19575        0.038318   14.16597
15    28.0  16.2  43.8  100.0  14.2  10.0   0.17729        0.031432   15.02627
16    28.2  15.8  44.2  100.0  14.2  9.8    0.20187        0.040751   13.89862
17    28.2  16.0  43.8  100.2  13.8  10.0   0.17725        0.031417   15.02832
18    28.2  16.2  44.0  99.8   14.0  10.2   0.17597        0.030964   15.09141
