Trial	   P   v   f   G   Density   Elongation   Aspect_ratio   Dilution       WGRG
1          1   1   1   1   99.01        49.50           3.56           60.88  0.819
2          1   2   2   2   98.93        48.99           5.16           62.42  0.684
3          1   3   3   3   98.51        45.67           5.32           63.71  0.590
4          1   4   4   4   98.26        36.97           6.96           64.99  0.477
5          2   1   2   3   98.82        52.39           3.81           61.83  0.793
6          2   2   1   4   98.79        43.62           5.32           65.55  0.572
7          2   3   4   1   99.24        48.96           5.31           69.91  0.637
8          2   4   3   2   99.05        49.09           8.23           74.32  0.514
9          3   1   3   4   98.87        51.29           3.78           66.71  0.705
10         3   2   4   3   98.93        50.83           4.05           65.74  0.700
11         3   3   1   2   99.11        46.19           5.13           67.14  0.617
12         3   4   2   1   99.39        52.52           6.40           72.63  0.688
13         4   1   4   2   99.23        48.77           3.63           66.94  0.741
14         4   2   3   1   99.26        54.66           4.23           70.24  0.779
15         4   3   2   4   99.02        51.66           5.35           69.36  0.633
16         4   4   1   3   99.09        47.89           10.46          80.25  0.462
17         3   1   2   1   99.51        52.69           2.77           58.83  0.956
