Run   X1   X2   X3   Impact
1     4    8    3    15
2     4    8    3    16
3     4    8    3    16
4     4    8    3    17
5     4    8    5    18
6     4    8    5    19
7     4    8    5    19
8     4    8    5    20
9     4    12   3    16
10    4    12   3    17
11    4    12   3    18
12    4    12   3    17
13    4    12   5    25
14    4    12   5    27
15    4    12   5    26
16    4    12   5    27
17    6    8    3    18
18    6    8    3    19
19    6    8    3    18
20    6    8    3    19
21    6    8    5    16
22    6    8    5    15
23    6    8    5    17
24    6    8    5    17
25    6    12   3    21
26    6    12   3    20
27    6    12   3    19
28    6    12   3    20
29    6    12   5    24
30    6    12   5    24
31    6    12   5    23
32    6    12   5    25
33    5    10   4    16
