Standard	Exp_Run	A	B	C	D	E	Kerf	EtaKW_dB
1	2	1	1	1	1	1	0.430	7.341
2	27	1	1	1	1	2	0.440	7.141
3	12	1	1	1	1	3	0.452	6.897
4	7	1	2	2	2	1	0.487	6.241
5	25	1	2	2	2	2	0.483	6.312
6	22	1	2	2	2	3	0.513	5.791
7	4	1	3	3	3	1	0.587	4.627
8	19	1	3	3	3	2	0.506	5.926
9	20	1	3	3	3	3	0.637	3.924
10	26	2	1	2	3	1	0.395	8.079
11	10	2	1	2	3	2	0.428	7.381
12	14	2	1	2	3	3	0.461	6.726
13	21	2	2	3	1	1	0.381	8.393
14	24	2	2	3	1	2	0.487	6.258
15	1	2	2	3	1	3	0.451	6.926
16	15	2	3	1	2	1	0.456	6.821
17	5	2	3	1	2	2	0.480	6.375
18	9	2	3	1	2	3	0.435	7.240
19	18	3	1	3	2	1	0.352	9.069
20	13	3	1	3	2	2	0.446	7.013
21	17	3	1	3	2	3	0.391	8.168
22	23	3	2	1	3	1	0.430	7.331
23	16	3	2	1	3	2	0.492	6.161
24	6	3	2	1	3	3	0.461	6.726
25	8	3	3	2	1	1	0.423	7.473
26	11	3	3	2	1	2	0.434	7.250
27	3	3	3	2	1	3	0.391	8.168
