No   A     B     C      D     Kt     Kb     Y      S/N
1    1900  15    19000  2.5   5.95   5.96   0.09   20.9151
2    1900  20    19500  3.25  5.96   5.98   0.06   24.437
3    1900  25    20000  4     5.86   5.91   0.23   12.7654
4    1950  15    19500  4     5.95   5.97   0.08   21.9382
5    1950  20    20000  2.5   5.91   6.00   0.09   20.9151
6    1950  25    19000  3.25  5.97   5.98   0.05   26.0206
7    2000  15    20000  3.25  5.95   5.97   0.08   21.9382
8    2000  20    19000  4     5.93   6.06   0.13   17.7211
9    2000  25    19500  2.5   5.89   5.99   0.12   18.4164
1    1950  15    19500  3.25  5.89   5.99   0.03   18.415
