Run  SW   AINF   TL     PS   TN   TB   SB  TB_SD   TY  TY_SD   ET  ET_SD   FB  FB_SD   EF  EF_SD
1    50   0.0    0.10   20   240  80   48.70    1.37    45.01    1.00    228.10   20.80   67.37    3.10    1731.95  81.01
2    50   22.5   0.15   30   245  85   45.81    2.12    43.73    2.24    213.92   9.65    58.70    1.15    1533.23  17.37
3    50   45.0   0.20   40   250  90   45.64    0.71    43.93    0.70    221.14   9.84    48.06    0.79    1277.11  21.25
4    50   67.5   0.25   50   255  95   45.30    0.51    43.86    0.48    218.61   2.34    48.20    3.81    1286.28  106.20
5    50   90.0   0.30   60   260  100  43.45    0.17    41.71    0.19    202.19   4.71    44.90    1.32    1299.76  31.57
6    75   0.0    0.15   40   255  100  49.92    0.89    47.06    1.17    223.76   7.11    50.42    1.00    1284.37  33.33
7    75   22.5   0.20   50   260  80   47.40    0.57    45.30    0.50    227.33   5.30    49.98    0.47    1323.13  14.86
8    75   45.0   0.25   60   240  85   46.42    0.61    44.07    0.56    233.87   3.40    64.02    4.27    1688.93  122.21
9    75   67.5   0.30   20   245  90   42.25    0.36    41.08    0.34    201.12   2.16    55.63    0.67    1452.77  18.59
10   75   90.0   0.10   30   250  95   38.59    2.98    37.17    3.02    161.32   23.28   47.07    1.56    1435.72  27.94
11   100  0.0    0.20   60   245  95   46.99    0.78    43.36    1.52    225.07   8.01    64.22    1.19    1669.27  30.36
12   100  22.5   0.25   20   250  100  44.33    0.35    42.64    0.23    185.20   12.67   43.25    3.63    1103.03  95.16
13   100  45.0   0.30   30   255  80   43.12    0.61    41.73    0.48    190.48   2.09    39.28    1.08    1038.25  24.38
14   100  67.5   0.10   40   260  85   45.79    0.65    44.00    0.76    201.73   12.59   66.60    0.94    1749.54  25.03
15   100  90.0   0.15   50   240  90   40.81    3.01    38.51    2.87    178.38   11.67   59.09    6.42    1932.03  48.81
16   125  0.0    0.25   30   260  90   45.64    0.54    42.56    1.07    213.03   3.65    58.87    1.35    1534.47  42.75
17   125  22.5   0.30   40   240  95   47.18    0.89    43.33    2.35    200.99   21.70   62.10    2.67    1538.99  70.00
18   125  45.0   0.10   50   245  100  46.86    0.61    44.53    1.22    174.80   8.84    55.67    3.16    1484.59  85.48
19   125  67.5   0.15   60   250  80   38.88    0.38    37.31    0.62    166.18   9.36    45.23    4.97    1512.04  96.82
20   125  90.0   0.20   20   255  85   29.27    0.36    28.07    0.35    105.11   4.69    37.22    3.82    1556.03  68.04
21   150  0.0    0.30   50   250  85   41.89    0.53    39.21    0.51    202.52   2.02    58.23    2.37    1584.05  51.34
22   150  22.5   0.10   60   255  90   43.73    1.18    41.48    1.46    214.09   7.50    70.14    1.86    1831.17  30.34
23   150  45.0   0.15   20   260  95   42.63    1.03    40.27    1.01    190.01   4.91    52.98    2.93    1519.97  86.19
24   150  67.5   0.20   30   240  100  39.85    1.60    36.87    1.71    142.52   14.11   38.44    3.65    1442.27  109.24
25   150  90.0   0.25   40   245  80   33.40    0.51    31.26    0.58    111.05   8.24    26.68    3.26    1469.24  95.29
26   84   31.0   0.14   30   246  86   48.07    1.58    37.72    1.07    224.15   6.26    63.59    2.00    1673.68  49.76
27   125  75.0   0.23   49   256  94   41.61    1.22    39.27    1.06    186.35   6.28    53.05    1.63    1685.76  53.55
