S_No	f1	f2	f3	f4	y RSM	Error_percent
1	-1	-1	-1	-1	12.36	12.33	-0.03
2	-1	-1	0	0	15.87	15.906	0.036
3	-1	-1	1	1	14.89	14.992	0.102
4	-1	0	-1	0	16.67	16.641	-0.029
5	-1	0	0	1	16.24	16.276	0.036
6	-1	0	1	-1	15.01	14.916	-0.094
7	-1	1	-1	1	15.56	15.53	-0.03
8	-1	1	0	-1	14.88	14.98	0.1
9	-1	1	1	0	17.84	17.746	-0.094
10	0	-1	-1	-1	15.99	15.96	-0.03
11	0	-1	0	0	19.5	19.471	-0.029
12	0	-1	1	1	18.52	18.492	-0.028
13	0	0	-1	0	20.3	20.271	-0.029
14	0	0	0	1	19.87	19.841	-0.029
15	0	0	1	-1	18.64	18.611	-0.029
16	0	1	-1	1	19.19	19.16	-0.03
17	0	1	0	-1	18.51	18.74	0.23
18	0	1	1	0	21.47	21.441	-0.029
19	1	-1	-1	-1	16.52	16.576	0.056
20	1	-1	0	0	20.03	20.022	-0.008
21	1	-1	1	1	19.05	18.978	-0.072
22	1	0	-1	0	20.83	20.887	0.057
23	1	0	0	1	20.4	20.392	-0.008
24	1	0	1	-1	19.17	19.292	0.122
25	1	1	-1	1	19.72	19.776	0.056
26	1	1	0	-1	19.82	19.486	-0.334
27	1	1	1	0	22	22.122	0.122
