Run Acid Leach Temp Perc SMBS Co SNRatio
1 20 60 25 10 2 64.41 36.18
2 20 90 35 15 4 76.67 37.69
3 20 120 45 20 6 83.97 38.48
4 20 150 55 25 8 75.70 37.58
5 20 180 65 30 10 87.19 38.81
6 40 60 35 20 8 75.88 37.60
7 40 90 45 25 10 93.10 39.38
8 40 120 55 30 2 77.34 37.77
9 40 150 65 10 4 87.87 38.88
10 40 180 25 15 6 74.79 37.48
11 60 60 45 30 4 71.16 37.05
12 60 90 55 10 6 83.62 38.45
13 60 120 65 15 8 85.52 38.64
14 60 150 25 20 10 86.03 38.69
15 60 180 35 25 2 68.93 36.77
16 80 60 55 15 10 89.73 39.06
17 80 90 65 20 2 79.56 38.01
18 80 120 25 25 4 74.33 37.42
19 80 150 35 30 6 79.32 37.99
20 80 180 45 10 8 80.84 38.15
21 100 60 65 25 6 73.50 37.33
22 100 90 25 30 8 73.10 37.28
23 100 120 35 10 10 72.47 37.20
24 100 150 45 15 2 74.09 37.40
25 100 180 55 20 4 66.34 36.43
1 40 90 65 15 10  97.43 
2 100 60 65 15 10 98.71
