RUN   CE   NR    FR    DOC       Tool_type   TW
1     DRY  0.4   0.15  0.5       UNCOATED    0.148
2     DRY  0.4   0.25  1.0       PVD         0.103
3     DRY  0.4   0.35  1.5       CVD         0.155
4     DRY  0.8   0.15  1.0       CVD         0.121
5     DRY  0.8   0.25  1.5       UNCOATED    0.167
6     DRY  0.8   0.35  0.5       PVD         0.071
7     DRY  1.2   0.15  1.5       PVD         0.173
8     DRY  1.2   0.25  0.5       CVD         0.061
9     DRY  1.2   0.35  1.0       UNCOATED    0.078
10    WET  0.4   0.15  0.5       UNCOATED    0.169
11    WET  0.4   0.25  1.0       PVD         0.124
12    WET  0.4   0.35  1.5       CVD         0.175
13    WET  0.8   0.15  1.0       CVD         0.142
14    WET  0.8   0.25  1.5       UNCOATED    0.188
15    WET  0.8   0.35  0.5       PVD         0.093
16    WET  1.2   0.15  1.5       PVD         0.195
17    WET  1.2   0.25  0.5       CVD         0.082
18    WET  1.2   0.35  1.0       UNCOATED    0.099
19    MQL  0.4   0.15  0.5       UNCOATED    0.136
20    MQL  0.4   0.25  1.0       PVD         0.091
21    MQL  0.4   0.35  1.5       CVD         0.142
22    MQL  0.8   0.15  1.0       CVD         0.109
23    MQL  0.8   0.25  1.5       UNCOATED    0.154
24    MQL  0.8   0.35  0.5       PVD         0.059
25    MQL  1.2   0.15  1.5       PVD         0.161
26    MQL  1.2   0.25  0.5       CVD         0.049
27    MQL  1.2   0.35  1.0       UNCOATED    0.066
